bangla_speech,sylhet_bangla_speech,zero,few,cot,context
আমার বাসার দারওয়ান অনেক ভালো মানুষ,আমার বাসার দারওয়ান অনেক ভালা মানুষ,আমার ঘরের দারোয়ান বালা মানুষ,আমার বাসার দারোয়ান অনেক ভালা মানুষ,আমার বাসার দারোয়ান বালা মানুষ,আমার বাসার দারোয়ান বাক্কা ভালা মানুষ
আমার বন্ধু খুলনা ঘুরতে গিয়েছে,আমার বন্ধু খুলনা বেরানিত গেছইন,আমার ফার্মুগো খুলনা ফিরতে গেছে,আমার বন্ধু খুলনা ঘুইরা আইতে গেছে,আমার বন্ধু খুলনা ঘুরতে গেছে,আমার বন্ধু খুলনা পাখানিতে গেছে
আমার ঘুরতে অনেক ভালো লাগে,আমার বেরাইতে অনেক ভালা লাগে,আমার ফিরাফিরি কইরা বালা লাগে,আমার ঘুইরতে অনেক ভালা লাগে,আমার ঘুরতে বালা লাগে,আমার পাখানিতে বাক্কা ভালা লাগে
আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,মুই বিদেশে গিয়া অনেক বেরাইতে চাই,আমি হের দেশে গিয়া বালা ফিরাফিরি করমু,আমি বিয়াদেসে গিয়া অনেক ঘুইরতে চাই,আমি বিদেশে গিয়া বালা ঘুরতে চাই,মুই বিদেশে গিয়া বাক্কা পাখানিতে চাই
তুমি আমাকে বিরক্ত করো না,তুমি মোরে বিরক্ত করবা না,তুমি আমারে বিরক্ত করো না,তুমি আমারে বিরক্ত কইরো না,তুমি আমারে বিরক্ত করো না,তুমি আমারে বিরক্ত খরো না
তিনি আমাকে অনেক অপমান করেছে,তাইন মোরে অনেক অপমান করছইন,উনারা আমারে বালা অপমান কইরা ফালাইছে,উয়ারা আমারে অনেক অপমান কইরছে,হিগা আমারে বালা অপমান করছে,তাই আমারে বাক্কা অপমান খরছে
আমার সকালে উঠে বই পরতে অনেক ভালো লাগে,মোর সকালে উঠিয়া বই পরতে অনেক ভালা লাগে,আমার বেলায় উঠিয়া কিতাব পড়ন বালা লাগে,আমার সকালে উঠিয়া বই পড়তে অনেক ভালা লাগে,আমার ভোরে উঠি কিতাব পরতে বালা লাগে,আমার বিয়ানে উঠিয়া বই পড়তে বাক্কা ভালা লাগে
আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,মোর ছোট ভাই একদমই পড়ালেখা করতে চাইন না,আমার ছোট ভাইগো পড়ালেখা করতে ইচ্ছা করে না,আমার ছোট ভাই এ্যাকদম-ই পড়ালেখা কইরতে চায় না,আমার ছোট ভাইয়া একদমই পড়ালেহা করতে চায় না,আমার ছুটো ভাই এখেবারেউ পড়ালেখা খরতে চায় না
আমার ছোট ভাই বিদ্যালয়ে যেতে চায় না,মোর ছোট ভাই বিদ্যালয় যাইতে চায় না,আমার ছোট ভাইগো ইস্কুলে যাইতে ইচ্ছা করে না,আমার ছোট ভাই ইস্কুলে যাইতে চায় না,আমার ছোট ভাইয়া ইস্কুলে যাইতে চায় না,আমার ছুটো ভাই ইস্কুলে যাইতে চায় না
আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,মোর ছোট ভাইয়র বিদ্যালয়ে গিয়া পড়ালেখা করতে ভালা লাগে নানি,আমার ছোট ভাইগো ইস্কুলে গিয়া পড়ালেখা করতে বালা লাগে না,আমার ছোট ভাইরে ইস্কুলে গিয়া পড়ালেখা কইরতে ভালা লাগে না,আমার ছোট ভাইয়ার ইস্কুলে গিয়া পড়ালেহা করতে বালা লাগে না,আমার ছুটো ভাইর ইস্কুলে গিয়া পড়ালেখা খরতে ভালা লাগে না
আমি একদিন বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিলাম,মুই একদিন বিদ্যালয়ের মাঠো মাথা ঘোরাইয়া ফরি গেছিলাম,আমি আরেকদিন ইস্কুলের মাঠে মাথা ঘুরিয়া পইরা গেছিলাম,আমি এ্যাকদিন ইস্কুলের মাঠে মাথা ফিইরা ফালাইছিলাম,আমি একদিন ইস্কুলের মাঠে মাথা ঘুরিয়া পরে গেছিলাম,মুই এখদিন ইস্কুলর মাঠে মাথা গুরাইয়া পরি গেছিলাম
আপনি কি আমাকে কোনদিনও ভালবাসবেন না ?,আফনে কিতা আমারে কোনোদিনও ভালা ফাইতা না,আপনি কি আমারে কোনদিনও ভালবাসবেন না?,আপনি কি আমারে কুনদিন-ও ভালবাসবেন না?,আপনি কি আমারে কোনদিনও ভালবাসিবেন না?,আফনে কি আমারে কুনোদিনউ ভালা পাইবেন না ?
আমার বন্ধু আজকে সকালে ফুটবল খেলেছে,আমার বন্ধু আইজকে সকালে ফুটবল খেলছে,আমার ফার্মুগো অহন বেলায় ফুটবল খেলছে,আমার বন্ধু আইজকা সকালে ফুটবল খেইলছে,আমার বন্ধু আজকে ভোরে ফুটবল খেলছে,আমার বন্ধু আইজকু বিয়ানে ফুটবল খেলাইছে
তুমি আমার মনের কথা একদমই বুঝো না,তুমি আমার ভিতরর মাত একদমই বুঝো না,তুমি আমার মনের কতা বুঝো না,তুমি আমার মনের কথা এ্যাকদম-ই বুঝো না,তুমি আমার মনের কথা একদমই বুঝ না,তুমি আমার মনর খতা এখেবারেউ বুজো না
আমার আম্মু অনেক ভালো রান্না করে,আমার মাই অনেক ভালা রান্দা করইন,আমার আম্মুগো বালা রান্না করে,আমার আম্মা অনেক ভালা রান্না কইরা,আমার আম্মা বালা রান্না করে,আমার আম্মায় বাক্কা ভালা রান্না খরে
আমার বন্ধু এখন ঘুমাতে যাবে,আমার বন্ধু এখন হুতনো যাইবো,আমার ফার্মুগো অহন ঘুমাইতে যাইব,আমার বন্ধু এহন ঘুমাইতে যাইবো,আমার বন্ধু এহন ঘুমাতে যাইব,আমার বন্ধু এহন ঘুমাত যাইবো
আমার ছোট বোন নাচতে পারে,আমার ছোট বোইন নাচতে ফারে,আমার ছোট আফাগো নাচতে পারে,আমার ছোট বোন নাচতে ফারে,আমার ছোট আফা নাচতে পারে,আমার ছুটো বইন নাচতা পারে
আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাবে,আমার বন্ধু এবার ছুটিতে রাজশাহী ফাকানিত যাইবো,আমার ফার্মুগো এইবার ছুটিতে রাজশাহী ফিরতে যাইব,আমার বন্ধু অইবার ছুটিতে রাজশাই ঘুইরতে যাইবো,আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাইব,আমার বন্ধু এইবার ছুটিত রাজশাহী পাখানিত যাইবো
আমার বন্ধু যাকে ভালবাসে সে রাজশাহী থাকে,আমার বন্ধু যারে ভালা ফায় হে রাজশাহী থাকে,আমার ফার্মুগো যারে ভালবাসে হেরা রাজশাহী থাহে,আমার বন্ধু যারে ভালবাসে হে রাজশাই থাকে,আমার বন্ধু যারে ভালবাসে হেই রাজশাহীতে থাকে,"আমার বন্ধু যারে ভালা পায়, হে রাজশাহীত থাকে"
মেয়েটি রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,ফুড়িটা রাজশাহী থাকি আমার বড় ভাইয়র লগে দেখা করাত আইছলা,মাইয়াডা রাজশাহী থেইকা আমার বড় ভাইগো লগে দেখা করতে আইছিল,ফুড়িটা রাজশাই থাইকা আমার বড় ভাইর লগে দেখা কইরতে আইছিল,ছেরিটা রাজশাহী থেইকা আমার বড় ভাইয়ার সাতে দেখা করতে আইছিল,ফুড়িটা রাজশাহী থাকি আমার বড় ভাউর লগে দেখা খরতে আইছলা
মেয়েটি এখন সিলেট যাবে,ফুড়িটা এখইন সিলট যাইবা,মাইয়াডা অহন সিলেট যাইব,ফুড়িটা এহন সিলেট যাইবো,ছেরিটা এহন সিলেট যাইব,ফুড়িটা এহন সিলেট যাইবো
আমার বড় ভাই এখন তাঁর বন্ধুদের সাথে সিগারেট খায় না,আমার বড় ভাই এখইন হের বন্ধুদের লগে সিগারেট খায় না,আমার বড় ভাইগো অহন তার ফার্মুগো লগে সিগারেট খায় না,আমার বড় ভাই এহন তার বন্ধুগোর লগে সিগারেট খায় না,আমার বড় ভাইয়া এহন তার বন্ধুগোর সাতে সিগারেট খায় না,আমার বড় ভাউ এহন তার বন্ধুবান্ধবর লগে সিগারেট খায় না
আপনি কি আমাকে আগে কোনদিন দেখেছেন ?,আফনে কিতা আমারে আগে কোনোদিন দেখছিলানি,আপনি কি আমারে আগে কোনদিন দেইখছেন?,আপনি কি আমারে আগে কুনদিন দেহছেন?,আপনি কি আমারে আগে কোনদিন দেহছেন?,আফনে কি আমারে আগে কুনোদিন দেখছইন নি?
আপনি কি আমাকে চিনতে পেরেছেন?,আফনে কিতা আমারে চিনইন নি,আপনি কি আমারে চিনতে পারছেন?,আপনি কি আমারে চিনতে পারছেন?,আপনি কি আমারে চিনতে পারছেন?,আফনে কি আমারে চিনতে পারছইন?
ছেলেটি আমাকে চিনতে পারল না,ফুয়াটায় আমারে চিনতে ফারলো না,ছাওয়াডা আমারে চিনতে পারল না,ফুয়াটা আমারে চিনতে পারল না,ফারানডা আমারে চিনতে পারল না,ফুয়াটা আমারে চিনতে পারল না
মেয়েটি তোমাকে চিনতে পারল না,ফুড়িটায় তোমারে চিনতে ফারলো না,মাইয়াডা তোমারে চিনতে পারল না,ফুড়িটা তোমারে চিনতে পারল না,ছেরিটা তুমারে চিনতে পারল না,ফুড়িটা তোমারে চিনতে পারল না
আমার এখন পড়ালেখা করা উচিত,আমার এখইন ফড়ালেখা করা উচিৎ,আমার অহন পড়ালেখা করা দরকার,আমার এহন পড়ালেখা করা উচিত,আমার এহন পড়ালেহা করা উচিত,আমার এহন পড়ালেখা খরা উচিত
অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,অনেক রাইত অইছে এখইন আমার ছোট বোইন ঘুমাইতে যাইবো,অনেক রাইত অইছে অহন আমার ছোট আফাগো ঘুমাইতে যাইব,অনেক রাইত অইছে এহন আমার ছোট বোন ঘুমাইতে যাইবো,বালা রাইত অইছে এহন আমার ছোট আফা ঘুমাতে যাইব,"বাক্কা রাইত অইছে, এহন আমার ছুটো বইন ঘুমাত যাইবো"
আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,আমাকে পরিক্ষার আগে হকল কিছু নিয়া ফড়ালেখা করত অইবো,আমারে পরীক্ষার আগে হগল লইয়া পড়ালেখা করতে অইব,আমারে পরীক্ষার আগে হবো কিছু নিয়া পড়ালেখা কইরতে অইবো,আমারে পরীক্ষার আগে সব কিছু নিয়া পড়ালেহা করতে অইব,আমারে পরীক্ষার আগে সব কুন্তা নিয়া পড়ালেখা খরতে অইবো
আমার ছোট ভাই বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে,আমার ছোট ভাই বিদ্যালয় গিয়া বন্ধুদের লগে গল্প করইন,আমার ছোট ভাইগো ইস্কুলে গিয়া ফার্মুগো লগে গল্প করে,আমার ছোট ভাই ইস্কুলে গিয়া বন্ধুগোর লগে গফ কইরা,আমার ছোট ভাইয়া ইস্কুলে গিয়া বন্ধুগোর সাতে গফ করে,আমার ছুটো ভাউ ইস্কুলে গিয়া বন্ধুরার লগে গফ খরে
আমার বন্ধু বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্ধু বিদ্যালয়ের মাঠো ফতিদিন ক্রিকেট খেলইন,আমার ফার্মুগো ইস্কুলের মাঠে হগল দিন ক্রিকেট খেলে,আমার বন্ধু ইস্কুলের মাঠে প্রতিদিন ক্রিকেট খেইলা,আমার বন্ধু ইস্কুলের মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্ধু ইস্কুলর মাঠে ফত্তেকদিন ক্রিকেট খেলায়
একটি ছোট শিশু ফুটপাতে লাফাচ্ছে,একটা ছোট বাইচ্চা ফুটপাতে লাফাইরা,এক ছোট বাচ্চাডা ফুটপাতে লাফায়,এ্যাকখান ছোট ফুয়া ফুটপাতে লাফাইতাসে,একডা ছোট বাচ্চা ফুটপাতে লাফায়,এখটা ছুটো বাচ্চা ফুটপাতত লাফায়
আমার বান্ধুবি তার স্বামীকে খুব ভালবাসে,আমার বান্ধবী তার স্বামীরে খুব ভালা ফায়,আমার বান্ধুবিগো তার স্বামীগো বালা ভালবাসে,আমার বান্ধবী তার স্বামীকে খুব ভালবাসে,আমার বান্ধুবি তার স্বামীডারে খুব ভালবাসে,আমার বান্ধবি তার জামাইরে বাক্কা ভালা পায়
আমার স্ত্রী আমাকে ভালোবাসে না,আমার স্ত্রী আমারে ভালা ফায় না,আমার বউ আমারে ভালবাসে না,আমার বউ আমারে ভালবাসে না,আমার বউ আমারে ভালবাসে না,আমার বউ আমারে ভালা পায় না
স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিলো,স্কুল জীবন থাকি আমার ভাইয়র লগে তোমার বোইনর প্রেম আছিল,ইস্কুল জীবন থেইকা আমার ভাইগো লগে তোমার আফার প্রেম আছিল,ইস্কুল জীবন থাইকা আমার ভাইর লগে তোমার বোনের ফ্রেম আছিলো,ইস্কুল জীবন থেইকা আমার ভাইয়ার সাতে তুমার আফার প্রেম আছিল,ইস্কুল জীবন থাকি আমার ভাউর লগে তোমার বইনের পেরেম আছলো
আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,আমার গতকাইল প্রচন্ড মাথা বেদনা করছিলো,আমার আরেকদিন বালাই মাথা ব্যথা আছিল,আমার কল্য মাথা বাইথা কইরতাসিল,আমার আরই মাথা বালা ব্যাথা করছিল,আমার গতকাইল মাথাত বেদনা খুব করছিল
আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না,মুই তোমার কোন মাত কিচ্ছুই বুঝতে ফারলাম না,আমি তোমার কোন কতা কিছুই বুঝি নাই,আমি তোমার কুন কথা কুনতা-ই বুঝতে পারলাম না,আমি তুমার কোন কথা কিছুই বুঝতে পারলাম না,আমি তোমার কুনতা মাত বুঝতাম পারলাম না
তোমার হাশির কাছে আমার সব কিছু হার মেনে যায়,তোমার হাশির কাছে আমার হকল কিছু হার মানিয়া যায়,তোমার হাসির লগে আমার হগল হার মানে যায়,তোমার হাসির কাছে আমার হবো কিছু হার মাইনা যায়,তুমার হাসির কাছে আমার সব কিছু হার মানে যায়,তোমার হাশির কাছে আমার হখল কুনতা হার মানে যায়
তোমার চোখ দুটো অনেক সুন্দর,তোমার চোউক দুইটা অনেক সুন্দর,তোমার চউক্ষ দুইডা বালা,তোমার চউকখ দুইডা অনেক সুন্দর,তুমার চউখ দুইডা বালা,তোমার দুই চউক বাক্কা সুন্দর
তোমার সাথে অনেক দিন পর দেখা,তোমার লগে অনেক দিন পর দেখা,তোমার লগে অনেক দিন পর দেকা অইছে,তোমার লগে অনেক দিন পর দেখা অইল,তুমার সাতে বালা দিন পর দেখা,তোমার লগে বাক্কা দিন পর দেখা অইলো
ছেলেটি বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,ফুয়াটা বিদোশো গিয়া ফড়ালেখা করার স্বপ্ন দেখে,ছাওয়াডা বিদেশে গিয়া পড়ালেখা করনের স্বপ্ন দেহে,ফুয়াটা বিয়াদেসে গিয়া পড়ালেখা কইরার স্বপ্ন দেহে,ফারানডা বিদেশে গিয়া পড়ালেহা করার স্বপ্ন দেহে,ফুয়াটা বিদেশে গিয়া পড়ালেখা খরার সফন দেখে
তোমার সাথে কথা বলে আমার অনেক ভালো লাগলো,তোমার লগে মাতিয়া আমার অনেক ভালা লাগছে,তোমার লগে কতা কইরা আমার বালা লাগছে,তোমার লগে কথা কইরা আমার অনেক ভালা লাগল,তুমার সাতে কথা কইরা আমার বালা লাগল,তোমার লগে মাত খরিয়া আমার বাক্কা ভালা লাগলো
তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগলো,তোমার বন্ধুর লগে পরিচত হইয়া ভালা লাগলো,তোমার বন্ধুর লগে পরিচিত অইয়া বালা লাগলো,তোমার বন্ধুর লগে পরিচিত অইয়া ভালা লাগল,তুমার বন্ধুর সাতে পরিচিত অইয়া বালা লাগল,তোমার বন্ধুর লগে পরিচিত অইয়া ভালা লাগলো
আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়া মাইর অয়,আমার বাপে আর চাচার মাজে জমিন লইয়া ঝগড়া অয়,আমার আব্বা আর চাচার মধ্যে জায়গা জমি নিয়া ঝগড়া অয়,আমার বাফা আর চাচার মধ্যে জায়গা জমি নিয়া ঝগড়া অয়,আমার আব্বা আর চাচার মাজে জাগা জমিন লইয়া মাইর অয়
লোকটি কিছু দিন আগে বিয়ে করেন,লোকটা কিছুদিন আগে বিয়া করছইন,ওই লোকডা কিছু দিন আগে বিয়া করছে,লোকটা কয়দিন আগে বিয়া কইরছে,মানুষডা কিছু দিন আগে বিয়া করে,বেটা কয়দিন আগে বিয়া করছে
প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,প্রথমে তোমাকে একটা বইয়ের দোখানো যাইতে হইবো,আগে তোমারে একখান কিতাবের দোকানে যাইতে অইব,ফার্স্ট তোমারে এ্যাকখান বইর দোকানে যাইতে অইব,ফারসডা তুমারে একডা কিতাবের দোকানে যাইতে অইব,পয়লা তোমারে এখটা বইর দুকানো যাওয়া লাগবো
বেশি কিছু বলার আগেই আবেগে চোখে পানি চলে আসছে,বেশি কিছু বলার আগেই আবেগে চোউক এর ফানি চলে আইতেছে,বেশি কিছু কওনের আগেই আবেগে চউক্ষে পানি আহে,বেশি কতা কইবার আগেই আবেগে চউখে পানি চইলা আইসে,বালা কিছু কইবার আগেই আবেগে চউখে পানি আহে,বেশি কুনতা খইরার আগেই আবেগে চকুত পানি আইয়া যায়
আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,আফনার বন্ধুদের গালি দেওয়ার সুযোগ কইরা দিন,তোমার বন্ধুদের গালি দেওয়ার সুযোগ কইরা দাও,আফনের বন্ধুগোরে গালি দেওয়ার সুযোগ কইরা দেন,আপনার বন্ধুগোরে গালি দিবার সুযোগ কইরা দেন,আফনার বন্ধুরারে গালি দেওয়ার সুযোগ খরে দেইন
অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,অনেক মানুষ এখোনো পেছনো লাইনো দাঁড়িয়া আছইন,অনেক মানুষ অহনো পিছে লাইন ধইরা থাইকা আছে,অনেক মানুষ এহন-ও ফিছনে লাইনে দাঁড়ায়া আছে,বালা মানুষ এহনো পিছনে লাইনে থেইকা আছে,বাক্কা মানুষ এহনো পিছনত লাইনত উবানিত আছে
একজন মহিলা মারা গেছেন,একজন বেডি মারা গেছইন,এক মহিলা মারা গেছে,এ্যাকজন মহিলা মারা গেছে,একডা মহিলা মারাগেছে,এখজন বেটি মারা গেছে
আপনি এত গরীব আগে কেন বলেননি,আফনি এত গরীব আগে কেনে কইলা না,তুমি এত গরীব আগে কইলা কিয়ারে?,আফনে এত গরিব আগে কেন কন নাই,আপনি এত গরিব আগে কেন কন নাই,আফনে এতো গরীব আগে কিলা কইলেন না
তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নাই,তুমি বাদে এই ফেরেশতে আমার আর কোনো নাই,তুমি ছাড়া অই পৃথিবীতে আমার আর কেউ নাই,তুমি ছাড়া এই ফতোয়াতে আমার আর কোনো নাই,তুমি ছাড়া এই দুনিয়াত আমার আর খেউ নাই
আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,মুই আগেই কইছলাম তোমারে নিয়া বিদেশ ফাকাইতে চাই,আমি আগেই কইছি তোমারে নিয়া বিদেশ ঘুরতে চাই,আমি আগেই কইছি তোমারে নিয়া বিয়াদেস ঘুইরতে চাই,আমি আগেই কইছি তুমারে নিয়া বিদেশ ঘুরতে চাই,আমি আগেই কইছি তোমারে লইয়া বিদেশ পাখানিত যাইতে চাই
আমার আম্মু আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,আমার আম্মা আমাকে হকলের সামনে মারতে মারতে বাসাত নিয়া আইছে,আমার আম্মা আমারে অগোর সামনে মারতে মারতে বাড়িত নিয়া আহে,আমার আম্মা আমারে হবায় সামনে মারতে মারতে বাসায় নিয়া আইসে,আমার আম্মা আমারে সবের সামনে মারতে মারতে বাসায় নিয়া আহে,আমার আম্মায় আমারে সবর সামনে মারতে মারতে বাসাত নিয়া আয়
আপনি কি জানেন এখানে অনেক ছেলে কমেন্ট পড়তে আসবে,আফনি কিতা জানেন এখানে অনেক ফুয়াইন কমেন্ট ফরাত আইবা,তুমি কি জানো ইতে অনেক ছাওয়া কমেন্ট পড়তে আহিবে?,আফনে কি জানেন এহানে অনেক ফুয়া কমেন্ট পড়তে আইব,আপনি কি জানেন এহানে বালা ফারান কমেন্ট পড়তে আহিব,আফনে কি জানইন ইতা বহুত ফুয়া কমেন্ট ফরার লাগি আইব
আবেগের ভালোবাসা কাউকে দেওয়া উচিত না,আবেগর ভালোবাসা কাউকে দেওয়া উচিৎ না,আবেগের ভালোবাসা কাউরে দেওন উচিত না,আবেগের ভালবাসা কাউরে দেওয়া উচিত না,আবেগের ভালবাসা কাউরে দিবা উচিত না,আবেগর ভালোবাসা খেউরে দেওয়া উচিত না
একদিন বিবেকের কাছে আবেগের ভালোবাসা হেরে যাবে,একদিন বিবেকের কাছে আবেগর ভালোবাসা হারিয়া যাইবো,একদিন বিবেগের কাছে আবেগের ভালোবাসা হারি যাইব,এ্যাকদিন বিবেগের কাছে আবেগের ভালবাসা হারি যাইব,একদিন বিবেগের কাছে আবেগের ভালবাসা হারি যাইব,এখদিন বিবেকর কাছে আবেগর ভালোবাসা হেরে যাইবো
আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে,আমার মনের ভালোবাসা চিরদিন তোমার লাগি থাইকা যাইবো,আমার মনের ভালোবাসা চিরদিন তোমার লাইগা থাইকা যাইব,আমার মনের ভালবাসা চিরদিন তোমার লাইগা থাইকা যাইব,আমার মনের ভালবাসা চিরদিন তুমার লাইগা থেইকা যাইব,আমার মনর ভালোবাসা চিরদিন তোমার লাগি থাকি যাইবো
জীবনে একা একা পথ চলা অনেক কঠিন,জীবনে একলা একলা ফথ চলা অনেক কঠিন,জীবনে একলা একলা পথ চলন বালা কঠিন,জীবনে একা একা ফথ চলা অনেক কঠিন,জীবনে একলা একলা পথ চলা বালা কঠিন,জীবনো একলা একলা পথ চলা বাক্কা কঠিন
