একটি ছোট শিশু ফুটপাতে লাফাচ্ছে,একটা ছোট বাইচ্চা ফুটপাতে লাফাইরা,একডা ছোট পোলা ফুটপাততে লাফাইতাছে,এখটা ছুটো বাইচ্চা ফুটপাতো ফাল দের,একডা ছোট পোলা ফুটপাততে লাফাইতাছে,এখটা ছোট শিশু ফুটপাত্তে লাফাইতাছে,একডা সোনা ফুত ফুটপাতত লাফাইতাসে,
আমার বান্ধুবি তার স্বামীকে খুব ভালবাসে,আমার বান্ধবী তার স্বামীরে খুব ভালা ফায়,আমার বান্ধুবী তার স্বামীরে অনেক ভালবাসে,আমার বান্ধুবি তাইর জামাইরে বহুৎ ভালা পায়,আমার বান্ধুবী তার স্বামীরে অনেক ভালবাসে,আমার বান্ধুবি তাগো স্বামীক খুব ভালাবায়,আমার বান্ধুবি উনার স্বামীক বহুত ভালবাসে,
আমার স্ত্রী আমাকে ভালোবাসে না,আমার স্ত্রী আমারে ভালা ফায় না,আমার বউ আমারে ভালবাসে না,আমার বউ আমারে ভালা পায় নি,আমার বউ আমারে ভালবাসে না,আমার বউ মোরে ভালাবায় নায়,আমার স্ত্রী মইক ভালবাসে না,
স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিলো,স্কুল জীবন থাকি আমার ভাইয়র লগে তোমার বোইনর প্রেম আছিল,স্কুল জীবন থেইকা আমার ভাইর লগে তোর আপার প্রেম আছিল,ইস্কুল জীবন থাকি আমার ভাইর লগে তুমার বইনের পিরিত আছিল,স্কুল জীবন থেইকা আমার ভাইর লগে তোর আপার প্রেম আছিল,স্কুল জীবন তেকা আমার ভাইর লগে তোর আপার প্রেম আছিল,স্কুল জীবন থেইকা আমার ভাইর লগে তোয়ার বোনর প্রেম আসিল,
আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,আমার গতকাইল প্রচন্ড মাথা বেদনা করছিলো,আমার গতকাল প্রচণ্ড মাথা ব্যথা করতাছিল,আমার গতকাইল বহুত মাথাত বেদনা খরত আছিল,আমার গতকাল প্রচণ্ড মাথা ব্যথা করতাছিল,আমার গদিন খুব মাথা ব্যাথা করত আছিল,আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,আমার কালক বহুত মাথা ব্যথা করতাসিল
আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না,মুই তোমার কোন মাত কিচ্ছুই বুঝতে ফারলাম না,আমি তোর কুন কথা কিছুই বুঝবার পারলাম না,মুই তুমার কুন মাত কিচ্চু বুজতে পারি নি,আমি তোর কুন কথা কিছুই বুঝবার পারলাম না,আںই তোর কুন কথা কিছুই বুঝত পারলাম নায়,আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না,মই তোয়ার কোন কথাই কিছুই বুঝন পারলম না
তোমার হাশির কাছে আমার সব কিছু হার মেনে যায়,তোমার হাশির কাছে আমার হকল কিছু হার মানিয়া যায়,তোর হাসির কাছে আমার সব কিছু হার মানে,তুমার হাসির কান্দাত আমার হখল কুনতা হার মনি যায়,তোর হাসির কাছে আমার সব কিছু হার মানে,তোর হাসির লগে আমার সবকিছু হার মাইরা যায়,তোমার হাশির কাছে আমার সব কিছু হার মেনে যায়,তোয়ার হাসির কাছে আমার সবকিছু হার মেন্নে যায়
তোমার চোখ দুটো অনেক সুন্দর,তোমার চোউক দুইটা অনেক সুন্দর,তোর দুইটা চোখ অনেক সুন্দর,তুমার দুই চউক বাক্কা সুন্দর,তোর দুইটা চোখ অনেক সুন্দর,তোর দুইচোখ অনেক সুন্দর,তোমার চোখ দুটো অনেক সুন্দর,তোয়ার চোখ দুইডা বহুত সুন্দর
তোমার সাথে অনেক দিন পর দেখা,তোমার লগে অনেক দিন পর দেখা,তোর লগে অনেক দিন পর দেখা,তুমার লগে বাক্কা দিন বাদে দেখা,তোর লগে অনেক দিন পর দেখা,তোর লগে অনেক দিন পর দেখা অইল,তোমার সাথে অনেক দিন পর দেখা,তোয়ার লগে বহুত দিন পরে দেখা
ছেলেটি বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,ফুয়াটা বিদোশো গিয়া ফড়ালেখা করার স্বপ্ন দেখে,পোলাডা বিদেশে গিয়া পড়ালেখা করবার স্বপ্ন দেখে,ফুয়াটায় বিদেশে গিয়া পড়ালেখা খরার সফন দেখে,পোলাডা বিদেশে গিয়া পড়ালেখা করবার স্বপ্ন দেখে,ফুয়াটায় বিদেশে গিয়া পইড়া-লেখা করনর স্বপ্ন দেখের,ছেলেটি বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,ফুয়া বিদেশে গিয়া পড়ালেখা করনর স্বপ্ন দেখে
তোমার সাথে কথা বলে আমার অনেক ভালো লাগলো,তোমার লগে মাতিয়া আমার অনেক ভালা লাগছে,তোর লগে কথা কইরা আমার অনেক ভালে লাগল,তুমার লগে মাত খইয়া আমার বাক্কা ভালা লাগলো,তোর লগে কথা কইরা আমার অনেক ভালে লাগল,তোর লগে কথা কৈরা আমার অনেক ভালা লাগল,তোমার সাথে কথা বলে আমার অনেক ভালো লাগলো,তোয়ার লগে কথা কইরা আমার বহুত ভাল লাগল
তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগলো,তোমার বন্ধুর লগে পরিচত হইয়া ভালা লাগলো,তোর বন্ধুর লগে পরিচিত হইয়া ভালে লাগল,তুমার বন্দুর লগে পরিচিত অইয়া ভালা লাগলো,তোর বন্ধুর লগে পরিচিত হইয়া ভালে লাগল,তোর বন্ধুর লগে পরিচিত অইয়া ভালা লাগল,তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগলো,তোয়ার বন্ধার লগে চিনা অইয়া ভাল লাগল
আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়া মাইর অয়,আমার আব্বা আর চাচার মাজে জায়গা জমি লইয়া ঝগড়া হয়,আমার আব্বা আর চাচার মাজে জাগা জমিন লইয়া মাইর অয়,আমার আব্বা আর চাচার মাজে জায়গা জমি লইয়া ঝগড়া হয়,আমার আব্বু আর চাচার মাজে জায়গা জমি লইয়া ঝগড়া অয়,আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,আমার আব্বা আর চাচার মাজে জায়গা জমি লইয়া ঝগড়া অয়
লোকটি কিছু দিন আগে বিয়ে করেন,লোকটা কিছুদিন আগে বিয়া করছইন,লোকডা কুনদিন আগে বিয়া করছে,বেটা কুনদিন আগে বিয়া খরইন,লোকডা কুনদিন আগে বিয়া করছে,লোকডায় কিছুডিন আগে বিয়া করছে,লোকটি কিছু দিন আগে বিয়ে করেন,লৌকডা কেদিন আগে বিয়া করছে
প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,প্রথমে তোমাকে একটা বইয়ের দোখানো যাইতে হইবো,প্রথমে তোকে একডা বইয়ের দোকানে যাইতে হইব,পয়লা তুমারে এখটা বইর দুকানো যাইতাম লাগবো,প্রথমে তোকে একডা বইয়ের দোকানে যাইতে হইব,প্রথমে তোরে এখটা বইর দোকানে যাইত অইব,প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,আগে তোয়ার একডা বইর দোকানত যাইত হইবো
বেশি কিছু বলার আগেই আবেগে চোখে পানি চলে আসছে,বেশি কিছু বলার আগেই আবেগে চোউক এর ফানি চলে আইতেছে,বেশি কিছু কইবার আগেই আবেগে চোখে পানি আইতাছে,বহুত কুনতা কওয়ার আগেই আবেগে চকুত পানি আই অইছে,বেশি কিছু কইবার আগেই আবেগে চোখে পানি আইতাছে,বেসি কিছু কইবার আগেই আবেগে চোখে পানি আইতাছে,বেশি কিছু বলার আগেই আবেগে চোখে পানি চলে আসছে,বেশি কিছু কইবার আগেই আবেগে চোখত পানি আইতাসে
আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,আফনার বন্ধুদের গালি দেওয়ার সুযোগ কইরা দিন,আপনের বন্ধুদের গালি দিবার সুযোগ কইরা দেন,আফনের বন্ধুবান্ধবর গালি দিবার সোজুগ খরি দেইন,আপনের বন্ধুদের গালি দিবার সুযোগ কইরা দেন,আপনের বন্ধুগোর গালি দেওনর সুযোগ দিয়া দেন,আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,আপনের বন্ধাগো গালি দেওনর সুযোগ দ্যান
