bangla_speech,sylhet_bangla_speech,context,zero,few,COT
আমার দুইদিন পরে বিয়ে হবে,আমার দুইদিন ফরে বিয়া অইবো,আমার দুইদিন বাদে বিয়া অইবো।,আমার দুই দিন বাদে বিয়া অইবো।,মোর দুইদিন বাদে বিয়া অইবো।,মু'র দুই দিন বাদে বিয়া অইবো।
ছেলেটি এখন আর বিকালে খেলতে বের হয় না,ফুয়াটা এখন আর বিকালে খেলাত বারয় না,ফুয়াটা এখন আর বিহানীত খেলাত বারইতো নায়।,ফুয়া/পোয়াটা এতা আর বিকালো খেলত বারইত বার অয় না।,ফুয়াটায় অখন আর বিকালো খেইলতো বার অয় না।,ফুয়া-টা অখন আর বিয়াইল (বিকালে) খেইলতে বারায় না।
মেয়েটি সকালে ঘুম থেকে উঠেই পরতে বসে,ফুরিটা সকালে ঘুম থাকি উঠেই ফরাত বয়,ফুড়িটায় বিয়ানে গুম থাকি উট্টিয়াউ পড়াত বয়ে।,ফুঁড়িটা আঁতালে ঘুম থাকি উঠিয়াউ পড়াত বইযায়।,ফুড়িটায় বেয়ানো ঘুম থাকি উইঠাই ফড়াত বহে।,ফুরি-টা বিছান থাকি উঠিই ফরত বইয।
আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,আমার চাচা বিদেশ থাকি গতকাল বাংলাদেশে আইছে,আমার চাচা বিদেশ থাকি গতকাইল বাংলাদেশো আইছে।,আমার চাচায় বিদেস থাকি খালকা (কালকে) বাংলাদেশে আইছইন।,মোর চাচায় বিদেশ থাকি কাইলকু বাংলাদেশে আইছইন।,মু'র চাচা বিদেশ থাকি কাইল বাংলাদেশে আইছইন।
আমার বাসার দারওয়ান অনেক ভালো মানুষ,আমার বাসার দারওয়ান অনেক ভালা মানুষ,আমার বাসার দারোয়ান বাক্কা ভালা মানুষ।,আমার বাসার দারোয়ান বালা মানুস।,মোর বাসার দারুয়ান অখল ভালা মানুস।,মু'র বাসার দারওয়ান বালা মানুশ।
আমার বন্ধু খুলনা ঘুরতে গিয়েছে,আমার বন্ধু খুলনা বেরানিত গেছইন,আমার বান্ধব খুলনা পাখানিত গেছে।,আমার দোস্ত খুলনা বারাইতে (ঘুরিতে) গেছইন।,মোর দুস্ত খুলনা ঘুরাত গেছইন।,মু'র বন্ধু খুলনা ঘুরতে গেছইন।
আমার ঘুরতে অনেক ভালো লাগে,আমার বেরাইতে অনেক ভালা লাগে,আমার পাখানিত খুব ভালা লাগের।,আমার বারাইতে খুব ভালা লাগে।,মোর ঘুরতো অখল ভালা লাগের।,মু'র ঘুরতোন খুব বালা লাগে।
আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,মুই বিদেশে গিয়া অনেক বেরাইতে চাই,মুই বিদেশো গিয়া বাক্কা পাখানিত যাইতাম চাই।,আমি বিদেসো গিয়া খুব বারাইতে চাই।,মুই বিদেশো গিয়া অখল ঘুরতো চাই।,আমি বিদেশের মাজে গিয়া খুব ঘুরতাম চাই।
তুমি আমাকে বিরক্ত করো না,তুমি মোরে বিরক্ত করবা না,তুমি আমারে বিরক্ত খরো নায়।,তুমি আমারে তকলিফ দিও না।,তুমি মোরে বিরক্ত খরো না।,তুমি মু’রে (আমারে) বিরক্তি দিও না।
তিনি আমাকে অনেক অপমান করেছে,তাইন মোরে অনেক অপমান করছইন,তাইন আমারে খুব অপমান করছইন।,তাইনে আমারে খুব/বউত বেজ্জতি করছইন।,তায় মোরে অখল অপমান খরছন।,তে ইখান মু'রে খুব বেইজ্জতি (অপমান) করছইন।
আমার সকালে উঠে বই পরতে অনেক ভালো লাগে,মোর সকালে উঠিয়া বই পরতে অনেক ভালা লাগে,আমার বিয়ানে উট্টিয়া বই পড়াত খুব ভালা লাগের।,আমার আঁতালে উঠিয়া কিতাব পড়াত খুব ভালা লাগে।,মোর বেয়ানে উইঠিয়া কিতাব ফড়তো অখল ভালা লাগের।,মু'র ফজরো (সকালে) উঠি কিতাব ফরত খুব বালা লাগে।
আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,মোর ছোট ভাই একদমই পড়ালেখা করতে চাইন না,আমার ছোট ভাউ এখদমউ পড়ালেখা খরতো চায় না।,আমার ছোড ভাই এক্কেরেও লেহা-পড়া করাত চায় না।,মোর ছোট ভাই এক্কুরউ ফড়লেখান খর্তো চায় না।,মু'র ছুট ভাই একদম-ই ফড়ালিখা করত চায় না।
আমার ছোট ভাই বিদ্যালয়ে যেতে চায় না,মোর ছোট ভাই বিদ্যালয় যাইতে চায় না,আমার ছোট ভাউ ইস্কুলো যাইতে চায় না।,আমার ছোড ভাই ইস্কুলে/মকতব (মকতবে) যাত চায় না।,মোর ছোট ভাই ইস্কুলো জৈতো চায় না।,মু'র ছুট ভাই ইস্কুলে যাইতোন চায় না।
আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,মোর ছোট ভাইয়র বিদ্যালয়ে গিয়া পড়ালেখা করতে ভালা লাগে নানি,আমার ছোট ভাউর ইস্কুলো গিয়া পড়ালেখা খরতো ভালা লাগের না।,আমার ছোড ভাইর ইস্কুলে গিয়া লেহা-পড়া করাত ভালা লাগে না।,মোর ছোট ভাইর ইস্কুলো গিয়া ফড়লেখান খর্তো ভালা লাগের না।,মু'র ছুট ভাইর ইস্কুলে গিয়া ফড়ালিখা করত বালা লাগে না।
আমি একদিন বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিলাম,মুই একদিন বিদ্যালয়ের মাঠো মাথা ঘোরাইয়া ফরি গেছিলাম,মুই এখদিন ইস্কুলর মাঠো মাথা গুরাইয়া পরি গেছিলাম।,আমি একদিন ইস্কুলের মাটিত মাতা ঘুরাইয়া পড়ি গেছলাম।,মুই একদিন ইস্কুলর মাঠো মাথা ঘুরাইয়া ফড়ি গেছিলাম।,আমি একদিন ইস্কুলের মাটে মাথা ঘুরাইয়া ফড়ি গেছলাম।
আপনি কি আমাকে কোনদিনও ভালবাসবেন না ?,আফনে কিতা আমারে কোনোদিনও ভালা ফাইতা না,আফনে কিতা আমারে কুনোদিনউ ভালা পাইবা নায়?,আপনে কিতা আমারে কোনোদিনও ভালা পাইতায় না?,আপনে কিতা মোরে কুনদিনউ ভালা ফাইবায় না?,আপনে কি মু'রে কোনোদিনও বালা পাইবা না নি?
আমার বন্ধু আজকে সকালে ফুটবল খেলেছে,আমার বন্ধু আইজকে সকালে ফুটবল খেলছে,আমার বান্ধব আইজকু বিয়ানে ফুটবল খেলছে।,আমার দোস্ত আজ আঁতালে ফুটবল খেলছইন।,মোর দুস্ত আইজকু বেয়ানে ফুটবল খেইলছে।,মু'র বন্ধু আইজ ফজরো ফুটবল খেইলছইন।
তুমি আমার মনের কথা একদমই বুঝো না,তুমি আমার ভিতরর মাত একদমই বুঝো না,তুমি আমার মনর মাত এখদমউ বুজো নায়।,তুমি আমার মনের কতা এক্কেরেও বুঝো না।,তুমি মোর মনের খতা এক্কুরউ বুঝো না।,তুমি মু'র মনের কথা এক্কেরেও বুঝো না।
আমার আম্মু অনেক ভালো রান্না করে,আমার মাই অনেক ভালা রান্দা করইন,আমার আম্মায় খুব ভালা রান্ধা খরইন।,আমার আম্মায় বউত বালা রান্ধন করইন।,মোর আম্মায় অখল ভালা রান্ধন।,মু'র আম্মায় খুব বালা রান্দইন।
আমার বন্ধু এখন ঘুমাতে যাবে,আমার বন্ধু এখন হুতনো যাইবো,আমার বান্ধব এখন গুমাত যাইবো।,আমার দোস্ত এতা ঘুমাত যাইবো।,মোর দুস্ত অখন ঘুমাত যাইবো।,মু'র বন্ধু অখন ঘুমাইতো যাইবো।
আমার ছোট বোন নাচতে পারে,আমার ছোট বোইন নাচতে ফারে,আমার ছোট বইন নাচতা ফারে।,আমার ছোড বইনে নাচিত পারইন।,মোর ছোট বইনে নাছতো ফারে।,মু'র ছুট বইন নাচতো পারে।
আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাবে,আমার বন্ধু এবার ছুটিতে রাজশাহী ফাকানিত যাইবো,আমার বান্ধব অউবার ছুটিত রাজশাহী পাখানিত যাইবো।,আমার দোস্ত ইবার ছুটিত রাজশাহী বারাইতে যাইবো।,মোর দুস্ত অউ বারো ছুটিত রাজশাহী ঘুরতো যাইবো।,মু'র বন্ধু ইবার ছুটিতো (ছুটিতে) রাজশাহী ঘুরতে যাইবো।
আমার বন্ধু যাকে ভালবাসে সে রাজশাহী থাকে,আমার বন্ধু যারে ভালা ফায় হে রাজশাহী থাকে,আমার বান্ধব যেটারে ভালাপায় হে রাজশাহী থাকে।,"আমার দোস্তে যারারে ভালা পায়, তাইন রাজশাহীত থাকইন।","মোর দুস্ত যারে ভালা ফায়, তায় রাজশাহী থাহে।","মু'র বন্ধু যারে বালা পায়, সে রাজশাহী থাকইন।"
মেয়েটি রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,ফুড়িটা রাজশাহী থাকি আমার বড় ভাইয়র লগে দেখা করাত আইছলা,ফুড়িটায় রাজশাহী থাকি আমার বড় ভাইর লগে দেখা করাত আইছিল।,ফুঁড়িটা রাজশাহী থাকি আমার বড় ভাই'র লগে দেখা করাত আইছল।,ফুড়িটায় রাজশাহী থাকি মোর বড় ভাইর লগে দেখা করাত আইছিল।,ফুরি-টা রাজশাহী থাকি মু'র বড় ভাইর লগে দেখা করত আইছল।
মেয়েটি এখন সিলেট যাবে,ফুড়িটা এখইন সিলট যাইবা,ফুড়িটায় এখন সিলেট যাইবো।,ফুঁড়িটা এতা সিলেট যাইবো।,ফুড়িটায় অখন সিলেট যাইবো।,ফুরি-টা অখন সিলেট যাইবো।
আমার বড় ভাই এখন তাঁর বন্ধুদের সাথে সিগারেট খায় না,আমার বড় ভাই এখইন হের বন্ধুদের লগে সিগারেট খায় না,আমার বড় ভাই এখন তার বন্ধুরার লগে সিগারেট খায় নায়।,আমার বড় ভাই এতা তাঁর দোস্তইন'র লগে সিকারেট খাইতা না।,মোর বড় ভাই অখন তাঁর দুস্তর লগে চিলিম খায় না।,মু'র বড় ভাই অখন তাঁর বন্ধুলগ (বন্ধুদের সাথে) বিড়ি-সিগারেট টানইন না।
আপনি কি আমাকে আগে কোনদিন দেখেছেন ?,আফনে কিতা আমারে আগে কোনোদিন দেখছিলানি,আফনে কিতা আমারে এর আগে কুনোদিন দেখছইন?,আপনে কিতা আমারে আগে কোনোদিন দেখছইন?,আপনে কিতা মোরে আগে কুনদিন দেখছইন?,আপনে কি মু'রে আগে কোনোদিন দেখছইন নি?
আপনি কি আমাকে চিনতে পেরেছেন?,আফনে কিতা আমারে চিনইন নি,আফনে কিতা আমারে চিনতে ফারছইন?,আপনে কিতা আমারে চিনতে পারছইন?,আপনে কিতা মোরে চিনতো ফারছইন?,আপনে কি মু'রে চিনছইন নি?
ছেলেটি আমাকে চিনতে পারল না,ফুয়াটায় আমারে চিনতে ফারলো না,ফুয়াটা আমারে চিনতাম ফারল নায়।,ফুয়া/পোয়াটা আমারে চিনতে পারল না।,ফুয়াটায় মোরে চিনতো ফারল না।,ফুয়া-টা মু'রে চিনতোন পারলো না।
মেয়েটি তোমাকে চিনতে পারল না,ফুড়িটায় তোমারে চিনতে ফারলো না,ফুড়িটায় তুমারে চিনতাম ফারল নায়।,ফুঁড়িটা তোমারে চিনতে পারল না।,ফুড়িটায় তুমারে চিনতো ফারল না।,ফুরি-টা তুমারে চিনতোন পারলো না।
আমার এখন পড়ালেখা করা উচিত,আমার এখইন ফড়ালেখা করা উচিৎ,আমার এখন পড়ালেখা খরা উচিত।,আমার এতা লেহা-পড়া করা দরকার।,মোর অখন ফড়লেখান খরা উচিত।,মু'র অখন ফড়ালিখা করা উছিদ (উচিত)।
অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,অনেক রাইত অইছে এখইন আমার ছোট বোইন ঘুমাইতে যাইবো,বাক্কা রাইত অইছে এখন আমার ছোট বইন গুমাত যাইবো।,"বউত (খুব) রাইত অইছে, এতা আমার ছোড বইন ঘুমাত যাইবো।","অখল রাইত অইছে, অখন মোর ছোট বইন ঘুমাত যাইবো।","খুব রাইত অইছে, অখন মু'র ছুট বইন ঘুমাইতো যাইবো।"
আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,আমাকে পরিক্ষার আগে হকল কিছু নিয়া ফড়ালেখা করত অইবো,আমারে পরীক্ষার আগে হখলতা লইয়া পড়ালেখা খরা লাগবো।,আমার পরীক্ষা'র আগে হকল (অকল) কিতা লইয়া লেহা-পড়া করা লাগবো।,মোরে পরিক্ষার আগে সব কুনতা লইয়া ফড়লেখান খরত অইবো।,মু'রে ইমতিহানর (পরীক্ষার) আগে হকল কিতা নিয়া ফড়ালিখা করত লাগবো।
আমার ছোট ভাই বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে,আমার ছোট ভাই বিদ্যালয় গিয়া বন্ধুদের লগে গল্প করইন,আমার ছোট ভাউ ইস্কুলো গিয়া বন্ধুরার লগে গফ খরে।,আমার ছোড ভাই ইস্কুলে গিয়া দোস্তইন'র লগে গফ করইন।,মোর ছোট ভাই ইস্কুলো গিয়া দুস্তর লগে গফ্ফ খরে।,মু'র ছুট ভাই ইস্কুলে গিয়া বন্ধুলগে গফ (গল্প) করে।
আমার বন্ধু বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্ধু বিদ্যালয়ের মাঠো ফতিদিন ক্রিকেট খেলইন,আমার বান্ধব ইস্কুলর মাঠো ফত্তেকদিন ক্রিকেট খেলায়।,আমার দোস্ত ইস্কুল'র মাটিত হরদিন (প্রতিদিন) ক্রিকেট খেলইন।,মোর দুস্ত ইস্কুলর মাঠো ফতিদিন ক্রিকেট খেইলে।,মু'র বন্ধু ইস্কুলের মাটে হরদিন (প্রতিদিন) ক্রিকেট খেইলইন।
একটি ছোট শিশু ফুটপাতে লাফাচ্ছে,একটা ছোট বাইচ্চা ফুটপাতে লাফাইরা,এখটা হুরু ফুয়া ফুটপাতো ফাল দের।,এক ছোড বুড়া (শিশু) ফুটপাতে ঝাফাইর।,এখটা ছোট আফালে ফুতপাতো লাফাইরা।,এক্কান ছুট ফুঁয়া (শিশু) ফুটফাতত লাফরা।
আমার বান্ধুবি তার স্বামীকে খুব ভালবাসে,আমার বান্ধবী তার স্বামীরে খুব ভালা ফায়,আমার বান্ধবি তার জামাইরে খুব ভালাপায়।,আমার বান্ধবিয়ে তাঁর জামাইরে খুব ভালা পায়।,মোর দুস্তাইন তার জামাইরে অখল ভালা ফায়।,মু'র বান্ধুবি তার জামাইরে খুব বালা পায়।
আমার স্ত্রী আমাকে ভালোবাসে না,আমার স্ত্রী আমারে ভালা ফায় না,আমার বউ আমারে ভালাপায় নায়।,আমার বউয়ে আমারে ভালা পায় না।,মোর বিউয়ায় মোরে ভালা ফায় না।,মু'র বউ মু'রে বালা পায় না।
স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিলো,স্কুল জীবন থাকি আমার ভাইয়র লগে তোমার বোইনর প্রেম আছিল,ইস্কুল জীবন থাকি আমার ভাইর লগে তুমার বইনর পেরেম আছিল।,ইস্কুল'র দিন থাকি আমার ভাই'র লগে তুমার বইন'র পিরিত আছল।,ইস্কুলর জিন্দেগি থাকি মোর ভাইর লগে তুমার বইনর ফেম আছিল।,ইস্কুল থাকি মু'র ভাইর লগে তুমার বইনোর পিরিত আছিল।
আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,আমার গতকাইল প্রচন্ড মাথা বেদনা করছিলো,আমার গতকাইল বেশেবা মাথাত বেদনা খরছিল।,আমার খালকা (কালকে) খুব মাথা ব্যাতা করত।,মোর কাইলকু ফরচণ্ড মাথা বিথা খরছিল।,মু'র কাইল খুব মাঁথা বিথা (ব্যথা) করছিলো।
আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না,মুই তোমার কোন মাত কিচ্ছুই বুঝতে ফারলাম না,মুই তুমার কুনো মাত কিচ্চুউ বুঝতাম ফারলাম নায়।,আমি তুমার কোনো কতা কিচ্ছু বুঝত পারলাম না।,মুই তুমার কুন খতা কুনতাউ বুঝতো ফারলাম না।,আমি তুমার কুনু কতা-ই কিচ্ছু বুঝতাম পারলাম না।
তোমার হাশির কাছে আমার সব কিছু হার মেনে যায়,তোমার হাশির কাছে আমার হকল কিছু হার মানিয়া যায়,তুমার হাছির কান্দাত আমার হখলতাউ হার মানি যায়।,তুমার হাঁসি'র লগে (কাছে) আমার অকল/হকল কিতা হার মানি যায়।,তুমার হাসির কাছে মোর সব কুনতা হার মানি যায়।,তুমার হাসির কাছে মু'র হকলতা (সব কিছু) আটি যায়।
তোমার চোখ দুটো অনেক সুন্দর,তোমার চোউক দুইটা অনেক সুন্দর,তুমার দুই চউক খুব সুন্দর।,তুমার দুই চখ্খু বউত/খুব সুন্দর।,তুমার চউখ দুইটা অখল সুন্দর।,তুমার চউখ দুইখান খুব সুন্দর।
তোমার সাথে অনেক দিন পর দেখা,তোমার লগে অনেক দিন পর দেখা,তুমার লগে বাক্কা দিন বাদে দেখা।,তুমার লগে বউত দিন বাদে দেখা।,তুমার লগে অখল দিন বাদে দেখা।,তুমার লগে অনেক দিন বাদে দেখা।
ছেলেটি বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,ফুয়াটা বিদোশো গিয়া ফড়ালেখা করার স্বপ্ন দেখে,ফুয়াটায় বিদেশো গিয়া পড়ালেখা করার সফন দেখে।,ফুয়া/পোয়াটা বিদেসো গিয়া লেহা-পড়া করার হপন দেখের।,ফুয়াটায় বিদেশো গিয়া ফড়লেখান খরার শফন দেখে।,ফুয়া-টা বিদেশে গিয়া ফড়ালিখা করার খউয়াব দেখইন।
তোমার সাথে কথা বলে আমার অনেক ভালো লাগলো,তোমার লগে মাতিয়া আমার অনেক ভালা লাগছে,তুমার লগে মাত মাতিয়া আমার বাক্কা ভালা লাগলো।,তুমার লগে কতা কইয়া আমার খুব ভালা লাগছে।,তুমার লগে খতা খইয়া মোর অখল ভালা লাগিল।,তুমার লগে কতা কইয়া মু'র খুব বালা লাগছে।
তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগলো,তোমার বন্ধুর লগে পরিচত হইয়া ভালা লাগলো,তুমার বান্ধবর লগে পরিচিত অইয়া ভালা লাগলো।,তুমার দোস্ত'র লগে পরিচিত অইয়া ভালা লাগলো।,তুমার দুস্তর লগে চিনাকরি অইয়া ভালা লাগিল।,তুমার বন্ধুর লগে চিন-জানা অইয়া বালা লাগলো।
আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়া মাইর অয়,আমার আব্বা আর চাচা বাইর মাঝে জাগা জমিন লইয়া মাইর অয়।,আমার আব্বা আর চাচার বিতরো জমিন লইয়া ঝগড়া অয়।,মোর আব্বা আর চাসার ভিতরে জাগা-জমি লইয়া জাউরা অয়।,মু'র আব্বায় আর চাচার মাজে জাগাজমি নিয়া হাউড়াবাউড়ি (ঝগড়া) অয়।
লোকটি কিছু দিন আগে বিয়ে করেন,লোকটা কিছুদিন আগে বিয়া করছইন,বেটা ইগুয়ে কয়দিন আগে বিয়া খরইন।,এই মানুসটাই কিতা দিন আগে বিয়া করছইন।,মানুসটায় কুনুদিন আগে বিয়া খরছইন।,মানুশ-টা কিতা দিন আগে বিয়া করছইন।
প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,প্রথমে তোমাকে একটা বইয়ের দোখানো যাইতে হইবো,পয়লা তুমারে এখটা বইর দুকানো যাওয়া লাগবো।,পইলা (প্রথমে) তুমারে এক কিতাব'র দোকানত যাইতো লাগবো।,পইলা তুমারে এখটা কিতাবর দুখানো জৈত অইবো।,আগে তুমারে এক্কান কিতাবের দোকানত যাইতোন লাগবো।
বেশি কিছু বলার আগেই আবেগে চোখে পানি চলে আসছে,বেশি কিছু বলার আগেই আবেগে চোউক এর ফানি চলে আইতেছে,বেশি কুনতা মাতার আগেউ আবেগে চউকুত পানি চলি আইছে।,বউত কতা কওয়ার আগেউ আবেগে চখ্খুত পানি আইযায়।,বেশি কুনতা খরার আগেউ আবেগো চউখো ফানি আইয়া ফড়ে।,বেশি কিচ্ছু কওয়ার আগে-ই আবোত্তে (আবেগে) চউখত ফানি আই গেছে।
আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,আফনার বন্ধুদের গালি দেওয়ার সুযোগ কইরা দিন,আফনার বন্ধুরারে গাইল দিতার সুযোগ খরিয়া দেউকা।,আপনার দোস্তইন'রে গাইল দেওনের লায় সুযোগ করি দিও।,আপনার দুস্তররে গালি দিবার সুজুগ খরি দিন।,আপ্নার বন্ধুলগে গাইল দিবার সুযোগ করি দেওক।
অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,অনেক মানুষ এখোনো পেছনো লাইনো দাঁড়িয়া আছইন,বাক্কা মানুষ এবো ধরি লাইনো উবাই রইছে।,বউত মানুস এতাও পিছোনের লাইনত খাড়াইর।,অখল মানুস এথনউ ফিসনর লাইনও থাইক্কা।,খুব মানুশ অখনও ফিশনো (পেছনে) লাইনে ঠাটা (দাঁড়িয়ে) রইছইন।
একজন মহিলা মারা গেছেন,একজন বেডি মারা গেছইন,এখজন বেটি মরি গেছইন।,এক জনানি মউত অইছইন।,এখজন মাইন্ষে মারা গেছইন।,একজনে বাইত (মহিলা) মরি গেছইন।
আপনি এত গরীব আগে কেন বলেননি,আফনি এত গরীব আগে কেনে কইলা না,আফনে এতো গরিব আগে কিয়েন কইছইন নায়?,আপনে এত গরীব আগে কেরা কইলায় না?,আপনে এত গরিব আগে কেন কইছইন না?,আপনে এত গরিব আগে ক্যারে কইছইন না?
তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নাই,তুমি ছাড়া অউ দুনিয়াত আমার আর খেউউ নায়।,তুমি ছাড়া ই দুনিয়াত আমার আর কেউ নাই।,তুমি ছাড়া অউ দুনিয়াত মোর আর কেউ নায়।,তুমি ছাড়া ই দুনিয়াত মু'র আর কুনু জন নাই।
আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,মুই আগেই কইছলাম তোমারে নিয়া বিদেশ ফাকাইতে চাই,মুই আগেউ কইছি তুমারে লইয়া বিদেশ পাখানিত যাইতাম চাই।,আমি আগেউ কইছি তুমারে লইয়া বিদেস বারাইতে চাই।,মুই আগেই কইছি তুমারে লইয়া বিদেশ ঘুরতো চাই।,আমি আগে-ই কইছি তুমারে নিয়া বিদেশ ঘুরতাম চাই।
আমার আম্মু আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,আমার আম্মা আমাকে হকলের সামনে মারতে মারতে বাসাত নিয়া আইছে,আমার আম্মায় আমারে হকরলর সামনে মারতে মারতে বাসাত লইয়া আয়ইন।,আমার আম্মায় আমারে অকল'র সামনে মারতে মারতে বাড়িত লইয়া আছইন।,মোর আম্মায় মোরে সবার সামনো মারতো মারতো বাসাত লইয়া আছইন।,মু'র আম্মায় মু'রে হকলর সামনে মারতে মারতে বাড়িত (বাসায়) নিয়া আইছইন।
আপনি কি জানেন এখানে অনেক ছেলে কমেন্ট পড়তে আসবে,আফনি কিতা জানেন এখানে অনেক ফুয়াইন কমেন্ট ফরাত আইবা,আফনে জানইন নি ওনো বাক্কা ফুয়া কমেন্ট ফরার লাগি আইবা?,"আপনে কিতা জানইন, এখানে বউত ফুয়া/পোয়া কমেন্ট পড়াত আইবো?",আপনে কিতা জানইন অউ জাগাত অখল ফুয়া কমেন্ট ফড়তো আইবো?,আপনে কি জানইন ইখানত খুব ফুয়া (ছেলে) কমেন্ট ফরত আইবা নি?
