bangla_speech,sylhet_bangla_speech,zero,few,cot,context,which one is best
আমার দুইদিন পরে বিয়ে হবে,আমার দুইদিন ফরে বিয়া অইবো,আমার দুইদিন ফরে বিয়া হইব।,আমার দুই দিন ফরে বিয়া অইব,আমার দুইদিন পরে বিয়া হইব।,আমার দুইদিন বাদে বিয়া অইবো।,Context
ছেলেটি এখন আর বিকালে খেলতে বের হয় না,ফুয়াটা এখন আর বিকালে খেলাত বারয় না,ফোয়াটি এহন আর বিকালত খেলতে বাইর নাহয়।,ফুয়াটায় এহন আর বিকালে খেইলতে বাইরে না,ফুয়াডা এহন আর বিকালে খেলতে বাইরে না।,ফুয়াটায় এখন আর বিকালত খেলাত বাইরে না।,Context
মেয়েটি সকালে ঘুম থেকে উঠেই পরতে বসে,ফুরিটা সকালে ঘুম থাকি উঠেই ফরাত বয়,মাইয়াটি সকালত ঘুম থাইক্কা উইঠা পড়তে বইসে।,ফুড়িটায় শকালে ঘুম থাইক্কা উইঠা পড়তে বয়,মাইয়াডা সকালে ঘুম থেকে উঠিয়াই পড়তে বইসে।,ফুড়িটায় বিয়ানে গুম থাকি উঠিয়া পড়াত বইয়া।,Context
আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,আমার চাচা বিদেশ থাকি গতকাল বাংলাদেশে আইছে,আমার চাচা বিদেশ থাইক্কা কাইল বাংলাদেশত আইছে।,আমার চাচা বিদেশ থাইক্কা গতকাইল বাংলাদেশে আইছে,আমার চাচা বিদেশ থেকে গতকাইল বাংলাদেশে আইছে।,আমার চাচা বিদেশ থাকি গতকাইল বাংলাদেশো আইছে।,Context
আমার বাসার দারওয়ান অনেক ভালো মানুষ,আমার বাসার দারওয়ান অনেক ভালা মানুষ,আমার বাসার দারোয়ান অনেক ভালা মানুষ।,আমার বাসার দারওয়ান বড় ভালা মানুষ,আমার বাসার দারোয়ান অনেক ভালা মানুষ।,আমার বাসার দারোয়ান বাক্কা ভালা মানুষ।,Context
আমার বন্ধু খুলনা ঘুরতে গিয়েছে,আমার বন্ধু খুলনা বেরানিত গেছইন,আমার বন্ধু খুলনা ঘুরতে গেছে।,আমার বন্ধু খুলনা ঘুইরত গেইছে,আমার বন্ধু খুলনা ঘুইরতে গেছে।,আমার বন্ধু খুলনা পাখানিত গেছে।,Context
আমার ঘুরতে অনেক ভালো লাগে,আমার বেরাইতে অনেক ভালা লাগে,আমার ঘুরতে অনেক ভালা লাগে।,আমার ঘুইরত বড় ভালা লাগে,আমার ঘুইরতে অনেক ভালা লাগে।,আমার পাখানিত বাক্কা ভালা লাগে।,Context
আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,মুই বিদেশে গিয়া অনেক বেরাইতে চাই,আমি বিদেশত গিয়া অনেক ঘুরতে চাই।,আমি বিদেশে গিয়া বড় ঘুইরত চাই,আমি বিদেশে গিয়া অনেক ঘুইরতে চাই।,মুই বিদেশ গিয়া বাক্কা পাখানিত চাই।,Context
তুমি আমাকে বিরক্ত করো না,তুমি মোরে বিরক্ত করবা না,তুঁই আমারে বিরক্ত কর না।,তুমি আমারে বিরক্ত খরো না,তুই আমারে বিরক্ত করিস না।,তুমি মোরে বিরক্ত খরো নায়।,Context
তিনি আমাকে অনেক অপমান করেছে,তাইন মোরে অনেক অপমান করছইন,তিনি আমারে অনেক অপমান কইছে।,তিনি আমারে বড় অপমান খইছে,তিনি আমারে অনেক অপমান কইছে।,তাইন মোরে বাক্কা অপমান খরছে।,Context
আমার সকালে উঠে বই পরতে অনেক ভালো লাগে,মোর সকালে উঠিয়া বই পরতে অনেক ভালা লাগে,আমার সকালত উইঠা বই পড়তে অনেক ভালা লাগে।,আমার শকালে উইঠা বই পড়ত বড় ভালা লাগে,আমার সকালে উঠিয়া বই পড়তে অনেক ভালা লাগে।,আমার বিয়ানে উঠিয়া বই পড়াত বাক্কা ভালা লাগে।,Context
আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,মোর ছোট ভাই একদমই পড়ালেখা করতে চাইন না,আমার ছোট ভাই এক্কেবারে পড়ালেখা করতে চায় না।,আমার খুদা ভাই এক্কেবারে পড়ালেখা খরত চায় না,আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না।,আমার ছুটো ভাউ এখেবারেউ পড়ালেখা খরতো চায় না।,Context
আমার ছোট ভাই বিদ্যালয়ে যেতে চায় না,মোর ছোট ভাই বিদ্যালয় যাইতে চায় না,আমার ছোট ভাই বিদ্যালয়ত যাইতে চায় না।,আমার খুদা ভাই বিদ্যালয়ে যাইত চায় না,আমার ছোট ভাই বিদ্যালয়ে যাইতে চায় না।,আমার ছুটো ভাউ ইস্কুলো যাইতো চায় না।,Context
আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,মোর ছোট ভাইয়র বিদ্যালয়ে গিয়া পড়ালেখা করতে ভালা লাগে নানি,আমার ছোট ভাইর বিদ্যালয়ত গিয়া পড়ালেখা করতে ভালা লাগে না।,আমার খুদা ভাইয়ের বিদ্যালয়ে গিয়া পড়ালেখা খরত ভালা লাগে না,আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়া পড়ালেখা করতে ভালা লাগে না।,আমার ছুটো ভাউর ইস্কুল গিয়া পড়ালেখা খরতো ভালা লাগে না।,Context
আমি একদিন বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিলাম,মুই একদিন বিদ্যালয়ের মাঠো মাথা ঘোরাইয়া ফরি গেছিলাম,আমি একদিন বিদ্যালয়র মাঠত মাথা ঘুইরা পইড়া গেছিলাম।,আমি এখদিন বিদ্যালয়র মাঠে মাথা ঘুরাইয়া পইড়া গেইছিলাম,আমি একদিন বিদ্যালয়ের মাঠে মাথা ঘুইরা পড়ি গেছিলাম।,মুই এখদিন ইস্কুলর মাঠো মাথা গুরাইয়া পড়ি গেছিলাম।,Context
আপনি কি আমাকে কোনদিনও ভালবাসবেন না ?,আফনে কিতা আমারে কোনোদিনও ভালা ফাইতা না,আফনে কি আমারে কুনদিনো ভালবাসবেন না?,আফনে কিতা আমারে কুনদিনও ভালবাসবেন না?,আপনে কি আমারে কোনদিনও ভালবাসবেন না?,আফনে কিতা মোরে কুনোদিন ভালা পাইবা নায় নি?,Context
আমার বন্ধু আজকে সকালে ফুটবল খেলেছে,আমার বন্ধু আইজকে সকালে ফুটবল খেলছে,আমার বন্ধু আইজ সকালত ফুটবল খেইলছে।,আমার বন্ধু আইজকু শকালে ফুটবল খেইলছে,আমার বন্ধু আইজ সকালে ফুটবল খেইলছে।,আমার বন্ধু আইজকু বিয়ানে ফুটবল খেলাইছে।,Context
তুমি আমার মনের কথা একদমই বুঝো না,তুমি আমার ভিতরর মাত একদমই বুঝো না,তুঁই আমার মনর কথা এক্কেবারে বুঝ না।,তুমি আমার মনর কথা এক্কেবারে বুঝো না,তুই আমার মনের কথা একদমই বুঝস না।,তুমি আমার মনর কথা এখেবারেউ বুজো না।,Context
আমার আম্মু অনেক ভালো রান্না করে,আমার মাই অনেক ভালা রান্দা করইন,আমার আম্মু অনেক ভালা রান্না করে।,আমার আম্মু বড় ভালা রান্না খরে,আমার আম্মু অনেক ভালা রান্না করে।,আমার আম্মায় বাক্কা ভালা রান্না করে।,Context
আমার বন্ধু এখন ঘুমাতে যাবে,আমার বন্ধু এখন হুতনো যাইবো,আমার বন্ধু এহন ঘুমাইতে যাইব।,আমার বন্ধু এহন ঘুমাইত যাইব,আমার বন্ধু এহন ঘুমাইতে যাইব।,আমার বন্ধু এখন গুমাইতো যাইবো।,Context
আমার ছোট বোন নাচতে পারে,আমার ছোট বোইন নাচতে ফারে,আমার ছোট বইন নাচতে পারে।,আমার খুদা বইন নাচত ফারে,আমার ছোট বইন নাচতে পারে।,আমার ছুটো বইন নাচতা পারে।,Context
আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাবে,আমার বন্ধু এবার ছুটিতে রাজশাহী ফাকানিত যাইবো,আমার বন্ধু এইবার ছুটিত রাজশাহী ঘুরতে যাইব।,আমার বন্ধু এইবার ছুটিত রাজশাহী ঘুইরত যাইব,আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুইরতে যাইব।,আমার বন্ধু এইবার ছুটিত রাজশাহী পাখানিত যাইবো।,Context
আমার বন্ধু যাকে ভালবাসে সে রাজশাহী থাকে,আমার বন্ধু যারে ভালা ফায় হে রাজশাহী থাকে,আমার বন্ধু যারে ভালবাসে সে রাজশাহী থাকে।,আমার বন্ধু যারে ভালবাসে সে রাজশাহী থাকে,আমার বন্ধু যারে ভালবাসে সে রাজশাহী থাকে।,আমার বন্ধু যারে ভালা পায় হে রাজশাহী থাকে।,Context
মেয়েটি রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,ফুড়িটা রাজশাহী থাকি আমার বড় ভাইয়র লগে দেখা করাত আইছলা,মাইয়াটি রাজশাহী থাইক্কা আমার বড় ভাইর লগে দেখা করতে আইছিল।,ফুড়িটায় রাজশাহী থাইক্কা আমার বড় ভাইয়র লগে দেখা করাত আইছিল,মাইয়াডা রাজশাহী থেকে আমার বড় ভাইয়ের লগে দেখা করতে আইছিল।,ফুড়িটায় রাজশাহী থাকি আমার বড় ভাউর লগে দেখা করাত আইছিল।,Context
মেয়েটি এখন সিলেট যাবে,ফুড়িটা এখইন সিলট যাইবা,মাইয়াটি এহন সিলেট যাইব।,ফুড়িটায় এহন সিলেট যাইব,মাইয়াডা এহন সিলেট যাইব।,ফুড়িটায় এখন সিলেট যাইবো।,Context
আমার বড় ভাই এখন তাঁর বন্ধুদের সাথে সিগারেট খায় না,আমার বড় ভাই এখইন হের বন্ধুদের লগে সিগারেট খায় না,আমার বড় ভাই এহন তার বন্ধুগো লগে সিগারেট খায় না।,আমার বড় ভাই এহন তাঁর বন্ধুগো লগে সিগারেট খায় না,আমার বড় ভাই এহন তার বন্ধুগো লগে সিগারেট খায় না।,আমার বড় ভাউ এখন তার বন্ধুরার লগে সিগারেট খায় না।,Context
আপনি কি আমাকে আগে কোনদিন দেখেছেন ?,আফনে কিতা আমারে আগে কোনোদিন দেখছিলানি,আফনে কি আমারে আগে কুনদিন দেখছেন?,আফনে কিতা আমারে আগে কুনদিন দেখছেন?,আপনে কি আমারে আগে কোনদিন দেখছেন?,আফনে কিতা মোরে এর আগে কুনোদিন দেখছইন নি?,Context
আপনি কি আমাকে চিনতে পেরেছেন?,আফনে কিতা আমারে চিনইন নি,আফনে কি আমারে চিনতে ফারছেন?,আফনে কিতা আমারে চিনত ফারছেন?,আপনে কি আমারে চিনতে পারছেন?,আফনে কিতা মোরে চিনতা পারছইন নি?,Context
ছেলেটি আমাকে চিনতে পারল না,ফুয়াটায় আমারে চিনতে ফারলো না,ফোয়াটি আমারে চিনতে পারল না।,ফুয়াটায় আমারে চিনত ফারল না,ফুয়াডা আমারে চিনতে পারল না।,ফুয়াটায় মোরে চিনতা পারলা না।,Context
মেয়েটি তোমাকে চিনতে পারল না,ফুড়িটায় তোমারে চিনতে ফারলো না,মাইয়াটি তোঁয়ারে চিনতে পারল না।,ফুড়িটায় তোমারে চিনত ফারল না,মাইয়াডা তোমারে চিনতে পারল না।,ফুড়িটায় তুমারে চিনতা পারলা না।,Context
আমার এখন পড়ালেখা করা উচিত,আমার এখইন ফড়ালেখা করা উচিৎ,আমার এহন পড়ালেখা করা উচিত।,আমার এহন পড়ালেখা খরা উচিত,আমার এহন পড়ালেখা করা উচিত।,আমার এখন পড়ালেখা খরা উচিত।,Context
অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,অনেক রাইত অইছে এখইন আমার ছোট বোইন ঘুমাইতে যাইবো,অনেক রাইত হইছে এহন আমার ছোট বইন ঘুমাইতে যাইব।,বড় রাত অইছে এহন আমার খুদা বইন ঘুমাইত যাইব,"অনেক রাত হইছে, এহন আমার ছোট বইন ঘুমাইতে যাইব।",বাক্কা রাইত অইছে এখন আমার ছুটো বইন গুমাইতো যাইবো।,Context
আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,আমাকে পরিক্ষার আগে হকল কিছু নিয়া ফড়ালেখা করত অইবো,আমারে পরীক্ষার আগে সবকিছু লইয়া পড়ালেখা করতে হইব।,আমারে পরীক্ষার আগে সব কুনতা নিয়া পড়ালেখা খরত অইব,আমারে পরীক্ষার আগে সব কিছু নিয়া পড়ালেখা করতে হইব।,মোরে ফরিক্ষার আগে হখল কুনতা লইয়া পড়ালেখা খরা লাগবো।,Context
আমার ছোট ভাই বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে,আমার ছোট ভাই বিদ্যালয় গিয়া বন্ধুদের লগে গল্প করইন,আমার ছোট ভাই বিদ্যালয়ত গিয়া বন্ধুগো লগে গল্প করে।,আমার খুদা ভাই বিদ্যালয়ে গিয়া বন্ধুগো লগে গল্প খরে,আমার ছোট ভাই বিদ্যালয়ে গিয়া বন্ধুগো লগে গল্প করে।,আমার ছুটো ভাউ ইস্কুল গিয়া বন্ধুরার লগে গফ করে।,Context
আমার বন্ধু বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্ধু বিদ্যালয়ের মাঠো ফতিদিন ক্রিকেট খেলইন,আমার বন্ধু বিদ্যালয়র মাঠত প্রতিদিন ক্রিকেট খেলে।,আমার বন্ধু বিদ্যালয়র মাঠে প্রতিদিন ক্রিকেট খেইলে,আমার বন্ধু বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে।,আমার বন্ধু ইস্কুলর মাঠো ফত্তেকদিন ক্রিকেট খেলায়।,Context
একটি ছোট শিশু ফুটপাতে লাফাচ্ছে,একটা ছোট বাইচ্চা ফুটপাতে লাফাইরা,একটা ছোট শিশু ফুটপাতত লাফাইতাছে।,এখটা খুদা শিশু ফুটপাতে লাফাইতাছে,একটা ছোট বাচ্চা ফুটপাতে লাফাইতেছে।,এখটা ছুটো বাইচ্চা ফুটপাতত লাফাইরা।,Context
আমার বান্ধুবি তার স্বামীকে খুব ভালবাসে,আমার বান্ধবী তার স্বামীরে খুব ভালা ফায়,আমার বান্ধুবি তার শামীকে খুব ভালবাসে।,আমার বান্ধবী তাঁর শাওরে বড় ভালবাসে,আমার বান্ধুবি তার স্বামীরে খুব ভালবাসে।,আমার বান্ধবি তার জামাইরে বাক্কা ভালা পায়।,Context
আমার স্ত্রী আমাকে ভালোবাসে না,আমার স্ত্রী আমারে ভালা ফায় না,আমার বউ আমারে ভালবাসে না।,আমার বউ আমারে ভালবাসে না,আমার বউ আমারে ভালবাসে না।,আমার বউ মোরে ভালা পায় না।,Context
স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিলো,স্কুল জীবন থাকি আমার ভাইয়র লগে তোমার বোইনর প্রেম আছিল,স্কুল জীবন থাইক্কা আমার ভাইর লগে তোঁয়ার বইনর প্রেম আছিল।,ইশকুল জীবন থাইক্কা আমার ভাইয়র লগে তোমার বইনর প্রেম আছিল,স্কুল জীবন থেকে আমার ভাইয়ের লগে তোমার বইনের প্রেম আছিল।,ইস্কুল জীবন থাকি আমার ভাউর লগে তুমার বইনর পিরিত আছিল।,Context
আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,আমার গতকাইল প্রচন্ড মাথা বেদনা করছিলো,আমার কাইল প্রচণ্ড মাথা ব্যথা করছিল।,আমার গতকাইল বড় মাথা ব্যথা খরতাছিল,আমার গতকাইল প্রচণ্ড মাথা ব্যথা করছিল।,আমার গতকাইল বাক্কা মাথাত বেদনা করছিল।,Context
আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না,মুই তোমার কোন মাত কিচ্ছুই বুঝতে ফারলাম না,আমি তোঁয়ার কুন কথা কিছুই বুঝতে পারলাম না।,আমি তোমার কুন কথা কুনতাই বুঝত ফারলাম না,আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না।,মুই তুমার কুনো কথা কুনতা বুঝতাম পারলাম না।,Context
তোমার হাশির কাছে আমার সব কিছু হার মেনে যায়,তোমার হাশির কাছে আমার হকল কিছু হার মানিয়া যায়,তোঁয়ার হাসির কাছে আমার সবকিছু হার মাইনা যায়।,তোমার হাঁশির কাছে আমার সব কুনতা হার মাইনা যায়,তোমার হাসির কাছে আমার সব কিছু হার মানি যায়।,তুমার হাসির কান্দাত আমার হখল কুনতা হার মানি যায়।,Context
তোমার চোখ দুটো অনেক সুন্দর,তোমার চোউক দুইটা অনেক সুন্দর,তোঁয়ার চোখ দুইটা অনেক সুন্দর।,তোমার চোখ দুইটা বড় শুন্দর,তোমার চোখ দুইটা অনেক সুন্দর।,তুমার চউক দুইটা বাক্কা সুন্দর।,Context
তোমার সাথে অনেক দিন পর দেখা,তোমার লগে অনেক দিন পর দেখা,তোঁয়ার লগে অনেক দিন ফরে দেখা।,তোমার লগে বড় দিন ফর দেখা,তোমার লগে অনেক দিন পর দেখা।,তুমার লগে বাক্কা দিন বাদে দেখা।,Context
ছেলেটি বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,ফুয়াটা বিদোশো গিয়া ফড়ালেখা করার স্বপ্ন দেখে,ফোয়াটি বিদেশত গিয়া পড়ালেখা করার স্বপ্ন দেখে।,ফুয়াটায় বিদেশে গিয়া পড়ালেখা খরার শপন দেখে,ফুয়াডা বিদেশে গিয়া পড়ালেখা করার স্বপ্ন দেখে।,ফুয়াটায় বিদেশ গিয়া পড়ালেখা খরার সফনো দেখে।,Context
তোমার সাথে কথা বলে আমার অনেক ভালো লাগলো,তোমার লগে মাতিয়া আমার অনেক ভালা লাগছে,তোঁয়ার লগে কথা কইয়া আমার অনেক ভালা লাগল।,তোমার লগে কথা কইয়া আমার বড় ভালা লাগল,তোমার লগে কথা কইয়া আমার অনেক ভালা লাগল।,তুমার লগে মাত মারিয়া আমার বাক্কা ভালা লাগলো।,Context
তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগলো,তোমার বন্ধুর লগে পরিচত হইয়া ভালা লাগলো,তোঁয়ার বন্ধুর লগে পরিচিত হইয়া ভালা লাগল।,তোমার বন্ধুর লগে পরিচিত অইয়া ভালা লাগল,তোমার বন্ধুর লগে পরিচিত হইয়া ভালা লাগল।,তুমার বন্ধুর লগে পরিচিত অইয়া ভালা লাগলো।,Context
আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়া মাইর অয়,আমার আব্বু আর চাচার মাঝত জায়গা জমি লইয়া ঝগড়া হয়।,আমার আব্বা আর চাচার মাঝে জায়গা জমি নিয়া ঝগড়া অয়,আমার আব্বু আর চাচার মইধ্যে জায়গা জমি নিয়া ঝগড়া হয়।,আমার আব্বা আর চাচার মাঝে জাগা জমিন লইয়া মাইর অয়।,Context
লোকটি কিছু দিন আগে বিয়ে করেন,লোকটা কিছুদিন আগে বিয়া করছইন,লোকটা কিছু দিন আগে বিয়া কইরছে।,লোকটা কুনতা দিন আগে বিয়া খরে,মানুষটা কিছু দিন আগে বিয়া কইছে।,বেটাটায় কুনতা দিন আগে বিয়া খরছে।,Context
প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,প্রথমে তোমাকে একটা বইয়ের দোখানো যাইতে হইবো,প্রথমত তোঁয়ারে একটা বইয়ের দোকানত যাইতে হইব।,প্রথমে তোমারে এখটা বইয়র দোকানে যাইত অইব,প্রথমে তোমারে একটা বইয়ের দোকানে যাইতে হইব।,পয়লা তুমারে এখটা বইয়ের দুকানো যাওয়া লাগবো।,Context
বেশি কিছু বলার আগেই আবেগে চোখে পানি চলে আসছে,বেশি কিছু বলার আগেই আবেগে চোউক এর ফানি চলে আইতেছে,বেশি কিছু কওয়ার আগেই আবেগত চোখত পানি চইলা আইতাছে।,বেশি কুনতা কওয়ার আগেই আবেগে চোখে পানি চইলা আইতাছে,বেশি কিছু কওয়ার আগেই আবেগে চোখে পানি চইলা আইতেছে।,বেশি কুনতা কওয়ার আগেই আবেগে চকুত পানি আইরা।,Context
আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,আফনার বন্ধুদের গালি দেওয়ার সুযোগ কইরা দিন,আফনার বন্ধুগো গালি দেওয়ার সুযোগ কইরা দেন।,আফনার বন্ধুগো গালি দেওয়ার সুযোগ খইরা দেন,আপনার বন্ধুগো গালি দেওয়ার সুযোগ কইরা দেন।,আফনার বন্ধুরারে গালি দিয়ার সুযোগ খরি দেউকা।,Context
অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,অনেক মানুষ এখোনো পেছনো লাইনো দাঁড়িয়া আছইন,অনেক মানুষ এহনো পিছনে লাইনত দাঁড়াইয়া আছে।,বড় মানুষ এহনো পিছনে লাইনে দাঁড়াইয়া আছে,অনেক মানুষ এহনো পিছনে লাইনে দাঁড়িয়া আছে।,বাক্কা মানুষ এখনো পিছনে লাইনো উবানিত আছে।,Context
একজন মহিলা মারা গেছেন,একজন বেডি মারা গেছইন,একজন মহিলা মইরা গেছে।,এখজন মাইয়া মইরা গেইছে,একজন মাইয়া মানুষ মইরা গেছে।,এখজন বেটি মরি গেছইন।,Context
আপনি এত গরীব আগে কেন বলেননি,আফনি এত গরীব আগে কেনে কইলা না,আফনে এতো গরীব আগে ক্যান কন নাই?,আফনে এত গরীব আগে কেন কন নাই?,আপনে এত গরীব আগে ক্যান কন নাই?,আফনে এত্তো গরীব আগে কিয়েন কইছইন না নি?,Context
তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নাই,তুঁই ছাড়া এই দুনিয়াত আমার আর কেউ নাই।,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নায়,তুই ছাড়া এই দুনিয়াতে আমার আর কেউ নাই।,তুমি ছাড়া এই দুনিয়াত আমার আর খেউ নাই।,Context
আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,মুই আগেই কইছলাম তোমারে নিয়া বিদেশ ফাকাইতে চাই,আমি আগেই কইছি তোঁয়ারে লইয়া বিদেশ ঘুরতে চাই।,আমি আগেই কইছি তোমারে নিয়া বিদেশ ঘুইরত চাই,আমি আগেই কইছি তোমারে নিয়া বিদেশ ঘুইরতে চাই।,মুই আগেই কইছি তুমারে লইয়া বিদেশ পাখানিত চাই।,Context
আমার আম্মু আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,আমার আম্মা আমাকে হকলের সামনে মারতে মারতে বাসাত নিয়া আইছে,আমার আম্মু আমারে সবার সামনে মাইরা মাইরা বাসাত লইয়া আইছে।,আমার আম্মু আমারে সবার সামনে মাইরত মাইরত বাসায় নিয়া আইছে,আমার আম্মু আমারে সবার সামনে মাইরা মাইরা বাসায় নিয়া আইছে।,আমার আম্মায় মোরে সবর সামনে মারতে মারতে বাসাত লইয়া আয়।,Context
আপনি কি জানেন এখানে অনেক ছেলে কমেন্ট পড়তে আসবে,আফনি কিতা জানেন এখানে অনেক ফুয়াইন কমেন্ট ফরাত আইবা,আফনে কি জানেন এহানে অনেক ফোয়া কমেন্ট পড়তে আইব?,আফনে কিতা জানেন এহানে বড় ফুয়া কমেন্ট পড়ত আইব?,আপনে কি জানেন এহানে অনেক ফুয়া কমেন্ট পড়তে আইব?,আফনে কিতা চিনইন এখানো বাক্কা ফুয়া কমেন্ট পড়াত আইবো নি?,Context
আবেগের ভালোবাসা কাউকে দেওয়া উচিত না,আবেগর ভালোবাসা কাউকে দেওয়া উচিৎ না,আবেগর ভালবাসা কারুকে দেওয়া উচিত না।,আবেগর ভালবাসা কারে দেওয়া উচিত না,আবেগের ভালবাসা কারোরে দেওয়া উচিত না।,আবেগর ভালা পাওয়া খেউরে দিয়া উচিত না।,Context
