bangla_speech,sylhet_bangla_speech,zero,,few,COT,context
মেয়েটি এখন সিলেট যাবে,ফুড়িটা এখইন সিলট যাইবা,ছোড়ীটা হুন সিলেট যাইব,,ফুইড়্টা/হিনট্টা ইবের সিলেট যাইব।,মেইয়ট্টা এখন সিলেট যাইব।,ফুড়িটায় এখন সিলেট যাইবো।
আমার বড় ভাই এখন তাঁর বন্ধুদের সাথে সিগারেট খায় না,আমার বড় ভাই এখইন হের বন্ধুদের লগে সিগারেট খায় না,মোর বড় ভাই হুন আর তানর বন্ধুদের লগে সিগারেট খায় না,,মোর बड़ भाई ইবের আর হिनর বন্ধুফর লগে সিগারেট খায় না।,আমaar বড় ভাই এখন তাar বন্ধুদের লগে সিগারেট খায় না।,মোর বড় ভাই এখন তাইর বন্ধুরার লগে সিগারেট খায় না।
আপনি কি আমাকে আগে কোনদিন দেখেছেন ?,আফনে কিতা আমারে আগে কোনোদিন দেখছিলানি,আপনে কি মোরে আগে কুনদিন দেইখছেন?,,इफने কি मोरे आगे कुनদিন दैख्खिन?,আপনে কি আমারে আগে কোনদিন দেখছেন?,আফনে কি আমারে আগে কুনোদিন দেখছিন?
আপনি কি আমাকে চিনতে পেরেছেন?,আফনে কিতা আমারে চিনইন নি,আপনে কি মোরে চিনতে পারছেন?,,इफने কি मोरे चिन्ता পারছिन?,আপনে কি আমারে চিনতে পারছেন?,আফনে কি আমারে চিনতাম পারছিন?
ছেলেটি আমাকে চিনতে পারল না,ফুয়াটায় আমারে চিনতে ফারলো না,ছাইলটা মোরে চিনতে পারল না,,फुयाटा मोरे चिन्ता पाड़ल ना।,ছাইলট্টা আমারে চিনতে পারল না।,ফুয়াটায় আমারে চিনতাম পারল না।
মেয়েটি তোমাকে চিনতে পারল না,ফুড়িটায় তোমারে চিনতে ফারলো না,ছোড়ীটা তোমারে চিনতে পারল না,,ফুইড়্টা/হিনট্টা তোরे চিন্তা পারল না।,মেইয়ট্টা তোয়ারে চিনতে পারল না。,ফুড়িটায় তুমারে চিনতাম পারল না।
আমার এখন পড়ালেখা করা উচিত,আমার এখইন ফড়ালেখা করা উচিৎ,মোর হুন পড়ালেখা কুরা উচিত,,মোর ইবের পড়াইলিখা খরার উচিত।,আমaar এখন পড়ালেখা করা উচিত।,মোর এখন পড়ালেখা খরা উচিত।
অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,অনেক রাইত অইছে এখইন আমার ছোট বোইন ঘুমাইতে যাইবো,"অনেক রাইত গেছে, হুন মোর ছুট বাইন ঘুমাইতে যাইব",,"বহুত রাইত গেসে, ইবের মোর छोट बাইন ঘুমান্তা যাইব।",অনেক রাইত হইছে এখন আমaar ছুট বয়ন ঘুমাইন্তে যাইব।,"বাক্কা রাইত অইছে, এখন মোর ছুট বইন ঘুমাইতে যাইবো।"
আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,আমাকে পরিক্ষার আগে হকল কিছু নিয়া ফড়ালেখা করত অইবো,মোরে ইমতিহানের আগে সব কিছু লইয়া পড়ালেখা কুর্তে হব,,মোরে পরীক্ষার আগে হারা কিতা লইয়া পড়াইলিখা খরতে হব।,আমারে পরীক্ষার আগে সব কিছু নিয়া পড়ালেখা করতে হাইব।,আমারে পরীক্ষার আগে হখল জিনিস লইয়া পড়ালেখা খরা লাগবো।
আমার ছোট ভাই বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে,আমার ছোট ভাই বিদ্যালয় গিয়া বন্ধুদের লগে গল্প করইন,মোর ছুট ভাই ইস্কুলে গিয়া বন্ধুদের লগে গল্প করে,,মোর छोट भाई ইস্কুলে গিয়া বন্ধুফর লগে গল্প করে।,আমaar ছুট ভাই স্কুলে গিয়া বন্ধুদের লগে গল্প করে।,মোর ছুট ভাই ইস্কুলো গিয়া বন্ধুরার লগে গফ খরে।
আমার বন্ধু বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্ধু বিদ্যালয়ের মাঠো ফতিদিন ক্রিকেট খেলইন,মোর বন্ধু ইস্কুলর মাঠে হরদিন ক্রিকেট খেইলে,,মোর বন্ধু ইস্কুলার মাইডে হরদিন ক্রিকেট খেইল্লে।,আমaar বন্ধু স্কুলের মাইডে প্রতিদিন ক্রিকেট খেলে।,মোর বন্ধু ইস্কুলর মাঠো ফত্তেকদিন ক্রিকেট খেলায়।
একটি ছোট শিশু ফুটপাতে লাফাচ্ছে,একটা ছোট বাইচ্চা ফুটপাতে লাফাইরা,একটা ছুট পোলা ফুটপাথে লাফাইতাছে,,এখটা छोट फরফ লাইক্কা ফুটপাথে লাফাইতাছে।,একট্টা ছুট ছাওয়া ফুটপাতে লাফাইতাছে।,এখটা ছুট বাইচ্চা ফুটপাতত ফালার।
আমার বান্ধুবি তার স্বামীকে খুব ভালবাসে,আমার বান্ধবী তার স্বামীরে খুব ভালা ফায়,মোর বন্ধু তার বরক খুব ভালবাসে,,মোর बांधুবी हिनर शोआमरे खूब ভালাবাসे।,আমaar বন্ধু তাar হোবারে খুব ভালবাসে।,মোর বান্ধুবি তাইর জামাইরে খুব ভালা পায়।
আমার স্ত্রী আমাকে ভালোবাসে না,আমার স্ত্রী আমারে ভালা ফায় না,মোর বউ মোরে ভালবাসে না,,মোর बइগ্না/स्त्री मोरे ভালাবাসे ना।,আমaar হোবা আমারে ভালোবাসে না।,মোর বউ আমারে ভালা পায় না।
স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিলো,স্কুল জীবন থাকি আমার ভাইয়র লগে তোমার বোইনর প্রেম আছিল,ইস্কুলের জীবন থাইক্যা মোর ভাইর লগে তোয়ার বাইনের প্রেম আসিল,,इস্কुलার जीवन ह्ते मोर भाईयार लगे तोर बाइनर प्रेम आसिल।,স্কুল জীবন থেকে আমaar ভাইয়ার লগে তোয়ার বয়নের প্রেম আসিল。,ইস্কুল জীবন থাকি মোর ভাইর লগে তুমার বইনর পিরিত আছিল।
আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,আমার গতকাইল প্রচন্ড মাথা বেদনা করছিলো,মোর গতকাল খুব মাথা ব্যথা করছিল,,মোর গতকাল खूब माथा बेथा করছিল।,আমaar গতকাল প্রচণ্ড মাথা ব্যথা করছিল।,মোর গতকাইল প্রচণ্ড মাথাত বেদনা করছিল।
আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না,মুই তোমার কোন মাত কিচ্ছুই বুঝতে ফারলাম না,মুই তোয়ার কুন কথা কিছুই বুঝতে পারলাম না,,आमी तोर कुन कथा किच्चुइ बुझ्ता পারলাম ना।,আমি তোয়ার কোন কথা কিছুই বুঝতে পারলাম না।,মুই তুমার কুনো মাত কুনতা বুঝতাম পারলাম না।
তোমার হাশির কাছে আমার সব কিছু হার মেনে যায়,তোমার হাশির কাছে আমার হকল কিছু হার মানিয়া যায়,তোয়ার হাসির কাছে মোর সব কিছু হার মানি যায়,,तोर हासिर लगे मोर हारा किच्चु हार मानि जाय।,তোয়ার হাসির কাছে আমaar সব কিছু হার মেনে যায়।,তুমার হাসির কান্দাত মোর হখল জিনিস হার মানি যায়।
তোমার চোখ দুটো অনেক সুন্দর,তোমার চোউক দুইটা অনেক সুন্দর,তোয়ার আঁখ দুইটা অনেক শুন্নর,,तोर चोख दुইटा बहूत सुन्दर।,তোয়ার চোখ দুইটা অনেক শুন্দর।,তুমার চউক দুখটা বাক্কা সুন্দর।
তোমার সাথে অনেক দিন পর দেখা,তোমার লগে অনেক দিন পর দেখা,তোয়ার লগে অনেক দিন পরে দেখা,,तोर लगे बहूत दिन पर देखा।,তোয়ার লগে অনেক দিন পরে দেখা।,তুমার লগে বাক্কা দিন বাদে দেখা।
ছেলেটি বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,ফুয়াটা বিদোশো গিয়া ফড়ালেখা করার স্বপ্ন দেখে,ছাইলটা বিদেশে গিয়া পড়ালেখা কুরার সপ্ন দেইখে,,फुয়াটा बिदेशे गीया पढ़াইলিখा खरार सपनOI देखে।,ছাইলট্টা বিদেশে গিয়া পড়ালেখা করার স্বপ্ন দেখে।,ফুয়াটায় বিদেশে গিয়া পড়ালেখা খরার সফনো দেখায়।
তোমার সাথে কথা বলে আমার অনেক ভালো লাগলো,তোমার লগে মাতিয়া আমার অনেক ভালা লাগছে,তোয়ার লগে কথা বল্যা মোর অনেক ভাল লাগল,,तोर लगे कथा बोला मोर बहूत भला लागল।,তোয়ার লগে কথা বলে আমaar অনেক ভালা লাগল।,তুমার লগে মাত বাইরা মোর বак্কা ভালা লাগলো।
তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগলো,তোমার বন্ধুর লগে পরিচত হইয়া ভালা লাগলো,তোয়ার বন্ধুর লগে পরিচিত হুইয়া ভাল লাগল,,तोर बन्दुर लगे परिचित हुआ भला लागল।,তোয়ার বন্ধুর লগে পরিচিত হইয়া ভালা লাগল।,তুমার বন্ধুর লগে পরিচিত অইয়া ভালা লাগলো।
আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়া মাইর অয়,মোর বাবা আর চাচার মাঝখানে জায়গা জমি লইয়া ঝগড়া হয়,,मोर आब्बु आर चाचार माज्जे जायगा जमिन लैয়া झगड़ा हय।,আমaar আব্বু আর চাচার মধ্যে জায়গা জমি নিয়া ঝগড়া হয়।,মোর আব্বা আর চাচার মাঝে জাগা জমিন লইয়া ঝগড়া অয়।
লোকটি কিছু দিন আগে বিয়ে করেন,লোকটা কিছুদিন আগে বিয়া করছইন,মানষটা কতক দিন আগে বাইর কুরছে,,मानषटा कुछ दिन आगे बिया करসে।,লোকট্টা কিছুদিন আগে বিয়া করছে।,বেটাটা কুনতা দিন আগে বিয়া করছিন।
প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,প্রথমে তোমাকে একটা বইয়ের দোখানো যাইতে হইবো,পহিলে তোমারে এক বইর দোকানে যাইতে হব,,आगे तोरे एखटा किताबर दोकানो जান্তा हाबे।,প্রথমে তোয়ারে একট্টা বইনের দোকানে যাইতে হাইব।,পয়লা তুমারে এখটা বইর দুকানো যাওয়া লাগবো।
বেশি কিছু বলার আগেই আবেগে চোখে পানি চলে আসছে,বেশি কিছু বলার আগেই আবেগে চোউক এর ফানি চলে আইতেছে,বেশি কিছু বলার আগেই আবেগে আঁখে পানি আইতাছে,,बेसी किच्चु बोलार आगुइ आबेगे चोखे पानी चुला आइতাছে।,বেশি কিছু বলার আগেই আবেগে চোখে পানি চলা আসতাছে।,বেশিতা মাতবার আগেউ আবেগে চকুত পানি আইরা অর।
আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,আফনার বন্ধুদের গালি দেওয়ার সুযোগ কইরা দিন,আপনার বন্ধুদের গালি দিওয়ার সুযোগ কুরা দিন,,अफ्नार बन्दुফरे गाली देवार सुइज्जो करा दियেন।,আপনার বন্ধুদের গালি দেইওয়ার সুযোগ করিয়া দিন।,আফনার বন্ধুরারে গালি দেওয়ার সুযোগ খরিয়া দেইন।
অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,অনেক মানুষ এখোনো পেছনো লাইনো দাঁড়িয়া আছইন,অনেক মানষ হুনো পাছের লাইনে দাঁড়িয়া আছে,,बहूत मानष इबेरो पিছনে लाइনে डाड़াইয়া आसे।,অনেক মানুষ এখনো পাছনে লাইনে দাঁড়িয়া আচে।,বাক্কা মানুষ এবো ধরি পিছনে লাইনো উবানিত রইছে।
একজন মহিলা মারা গেছেন,একজন বেডি মারা গেছইন,একজন মানষ মারা গেছেন,,एक्ता बेइला मारा गেসেন।,একজন মাইয়া মারা গেসে।,এখজন বেটি মারা গেছিন।
আপনি এত গরীব আগে কেন বলেননি,আফনি এত গরীব আগে কেনে কইলা না,আপনে এত গরিব আগে কিনা বলনাই?,,इफने ऐतन गरीब आगे किन बोलসिन ना?,আপনে এত গরিব আগে কিনা বলছিনা?,আফনে অইত গরীব আগে কিয়েন কইছলাইন না?
তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নাই,তুঁই ছাড়া এই দুনিয়াত মোর আর কেউ নাই,,तूं बादा ऐ दुनियात मोर आर खौन नाइ।,তুঁই ছাড়া এই পৃথিবীতে আমaar আর কেউ নাই।,তুমি ছাড়া অউ দুনিয়াত মোর আর খেউ নাই।
আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,মুই আগেই কইছলাম তোমারে নিয়া বিদেশ ফাকাইতে চাই,মুই আগেই বলছি তোমারে লইয়া বিদেশ ঘুড়তে সাই,,आमी आगुइ बोलसি तोरे लैया बिदेश घुर्ता चाई।,আমি আগেই বলছি তোয়ারে নিয়া বিদেশ ঘুরতে চাই।,মুই আগেউ কইছলাম তুমারে লইয়া বিদেশ ঘুরাত চাই।
আমার আম্মু আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,আমার আম্মা আমাকে হকলের সামনে মারতে মারতে বাসাত নিয়া আইছে,মোর আম্মু মোরে হরকের সামনে মারতে মারতে বাসায় লইয়া আসে,,मोर आम्मु मोरे हारर सामने मार्तা मार्ता बাড়ি लैया आसे।,আমaar আম্মু আমারে সবার সামনে মারতে মারতে বাসায় নিয়া আসে।,মোর আম্মায় আমারে সবর সামনে মারতে মারতে বাসাত আনিয়া আয়।
আপনি কি জানেন এখানে অনেক ছেলে কমেন্ট পড়তে আসবে,আফনি কিতা জানেন এখানে অনেক ফুয়াইন কমেন্ট ফরাত আইবা,আপনে কি জানেন হেঁটায় অনেক ছাইল কমেন্ট পড়তে আসিব?,,"इफने কি जानন, इयাত बहूत फुया कमेन्ट पর্দा आइब?",আপনে কি জানেন এখানে অনেক ছাইল কমেন্ট পড়তে আসিব?,আফনে কি চিনইন ওনো বাক्कা ফুয়া কমেন্ট পড়াত আইবো?
আবেগের ভালোবাসা কাউকে দেওয়া উচিত না,আবেগর ভালোবাসা কাউকে দেওয়া উচিৎ না,আবেগর ভালবাসা কুকুরে দিওয়া উচিত না,,আবেগর ভালাবাসা खौनকু देवार উচিত ना।,আবেগের ভালোবাসা কাউকেও দেইওয়া উচিত না।,আবেগর ভালোবাসা খেউরে দেওয়া উচিত নায়।
একদিন বিবেকের কাছে আবেগের ভালোবাসা হেরে যাবে,একদিন বিবেকের কাছে আবেগর ভালোবাসা হারিয়া যাইবো,অকদিন বিবেকর কাছে আবেগর ভালবাসা হেরে যাইব,,एकদিন बिवेकेर लगे আবেগर ভালাবासा हारि जाइब।,একদিন বিবেকের কাছে আবেগের ভালোবাসা হেরে যাইব।,এখদিন বিবেকর কান্দাত আবেগর ভালোবাসা হেরে যাইবো।
