bangla_speech,sylhet_bangla_speech,zero,few,cot,context
ছেলেটি এখন আর বিকালে খেলতে বের হয় না,ফুয়াটা এখন আর বিকালে খেলাত বারয় না,মেয়েটা এখন আর বিকেলে খেলতে বেরোয় না,ছেলেটি এখন আর বিকালে খেলতে বের হয় না,মেয়েটা এখন আর বিকেলে খেলতে বেরোয় না,ছেলেটা এখন আর বিকেলে খেলতে বেরোয় না
মেয়েটি সকালে ঘুম থেকে উঠেই পরতে বসে,ফুরিটা সকালে ঘুম থাকি উঠেই ফরাত বয়,মেয়েটা সকালে ঘুম থেকে উঠেই বেড়াতে বেরোয়,মেয়েটি সকালে ঘুম থেকে উঠেই পরতে বসে,মেয়েটা সকালে ঘুম থেকে উঠেই বের হয়,মেয়েটা সকালে ঘুম থেকে উঠেই বেরাতে ব্যস্ত
আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,আমার চাচা বিদেশ থাকি গতকাল বাংলাদেশে আইছে,আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে
আমার বাসার দারওয়ান অনেক ভালো মানুষ,আমার বাসার দারওয়ান অনেক ভালা মানুষ,আমার বাসার দারোয়ান অনেক ভালো মানুষ,আমার বাসার দারওয়ান অনেক ভালো মানুষ,আমার বাসার দারোয়ান অনেক ভালো মানুষ,আমার বাসার দারোয়ান অনেক ভালো মানুষ
আমার বন্ধু খুলনা ঘুরতে গিয়েছে,আমার বন্ধু খুলনা বেরানিত গেছইন,আমার বন্ধু খুলনা বেড়াতে গেছে,আমার বন্ধু খুলনা ঘুরতে গিয়েছে,আমার বন্ধু খুলনা বেড়াতে গেছে,আমার বন্ধু খুলনায় বেড়াতে গেছে
আমার ঘুরতে অনেক ভালো লাগে,আমার বেরাইতে অনেক ভালা লাগে,আমার বেড়াতে অনেক ভালো লাগে,আমার ঘুরতে অনেক ভালো লাগে,আমার বের হতে অনেক ভালো লাগে,আমার বেড়াতে অনেক ভালো লাগে
আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,মুই বিদেশে গিয়া অনেক বেরাইতে চাই,আমি বিদেশে গিয়ে অনেক বেড়াতে চাই,আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,আমি বিদেশে গিয়ে অনেক বেড়াতে চাই,আমি বিদেশে গিয়ে অনেক বেড়াতে চাই
তুমি আমাকে বিরক্ত করো না,তুমি মোরে বিরক্ত করবা না,তুমি আমাকে বিরক্ত করবে না,তুমি আমাকে বিরক্ত করো না,তুমি আমাকে বিরক্ত করবে না,তুমি আমাকে বিরক্ত করবে না
তিনি আমাকে অনেক অপমান করেছে,তাইন মোরে অনেক অপমান করছইন,তাই তো আমাকে অনেক অপমান করছো,তিনি আমাকে অনেক অপমান করেছে,তাইন আমাকে অনেক অপমান করছে,তিনি আমাকে অনেক অপমান করছেন
আমার সকালে উঠে বই পরতে অনেক ভালো লাগে,মোর সকালে উঠিয়া বই পরতে অনেক ভালা লাগে,আমার সকালে উঠে বই পড়তে অনেক ভালো লাগে,আমার সকালে উঠে বই পড়তে অনেক ভালো লাগে,আমার সকালে উঠে বই পড়তে অনেক ভালো লাগে,আমার সকালে উঠে বই পড়তে অনেক ভালো লাগে
আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,মোর ছোট ভাই একদমই পড়ালেখা করতে চাইন না,আমার ছোট ভাই একদমই পড়াশোনা করতে চায় না,আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,আমার ছোট ভাই একদমই পড়াশোনা করতে চায় না,আমার ছোট ভাই একদমই পড়াশোনা করতে চায় না
আমার ছোট ভাই বিদ্যালয়ে যেতে চায় না,মোর ছোট ভাই বিদ্যালয় যাইতে চায় না,আমার ছোট ভাই স্কুলে যেতে চায় না,আমার ছোট ভাই বিদ্যালয়ে যেতে চায় না,আমার ছোট ভাই স্কুলে যেতে চায় না,আমার ছোট ভাই স্কুলে যেতে চায় না
আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,মোর ছোট ভাইয়র বিদ্যালয়ে গিয়া পড়ালেখা করতে ভালা লাগে নানি,আমার ছোট ভাইয়ের স্কুলে গিয়ে পড়াশোনা করতে ভালো লাগে না,আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভালো লাগে না,আমার ছোট ভাইয়ের স্কুলে গিয়ে পড়াশোনা করতে ভালো লাগে না,আমার ছোট ভাইয়ের স্কুলে গিয়ে পড়াশোনা করতে ভালো লাগে না
আমি একদিন বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিলাম,মুই একদিন বিদ্যালয়ের মাঠো মাথা ঘোরাইয়া ফরি গেছিলাম,আমি একদিন স্কুলের মাঠে মাথা ঘুরিয়ে বেড়াতে গিয়েছিলাম,আমি একদিন বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পড়ে গিয়েছিলাম,আমি একদিন স্কুলের মাঠে মাথা ঘুরিয়ে বের হয়ে গিয়েছিলাম,আমি একদিন স্কুলের মাঠে মাথা ঘুরিয়ে পড়ে গিয়েছিলাম
আপনি কি আমাকে কোনদিনও ভালবাসবেন না ?,আফনে কিতা আমারে কোনোদিনও ভালা ফাইতা না,আপনি কি আমাকে কখনো ভালোবাসেন না,আপনি কি আমাকে কোনদিনও ভালোবাসবেন না?,আপনি কি আমাকে কোনোদিনও ভালোবাসেন না,আপনি কি আমাকে কোনোদিনও ভালোবাসতেন না
আমার বন্ধু আজকে সকালে ফুটবল খেলেছে,আমার বন্ধু আইজকে সকালে ফুটবল খেলছে,আমার বন্ধু আজকে সকালে ফুটবল খেলছে,আমার বন্ধু আজকে সকালে ফুটবল খেলেছে,আমার বন্ধু আজকে সকালে ফুটবল খেলছে,আমার বন্ধু আজকে সকালে ফুটবল খেলছে
তুমি আমার মনের কথা একদমই বুঝো না,তুমি আমার ভিতরর মাত একদমই বুঝো না,তুমি আমার ভেতরের কথা একদমই বোঝো না,তুমি আমার মনের কথা একদমই বুঝো না,তুমি আমার ভেতরের কথা একদমই বোঝো না,তুমি আমার ভিতরের কথা একদমই বোঝো না
আমার আম্মু অনেক ভালো রান্না করে,আমার মাই অনেক ভালা রান্দা করইন,আমার মা অনেক ভালো রান্না করে,আমার আম্মু অনেক ভালো রান্না করে,আমার মা অনেক ভালো রান্না করে,আমার মা অনেক ভালো রান্না করেন
আমার বন্ধু এখন ঘুমাতে যাবে,আমার বন্ধু এখন হুতনো যাইবো,আমার বন্ধু এখন হটনো যাবে,আমার বন্ধু এখন ঘুমাতে যাবে,আমার বন্ধু এখন হটনো যাবে,আমার বন্ধু এখন ঘুমাতে যাবে
আমার ছোট বোন নাচতে পারে,আমার ছোট বোইন নাচতে ফারে,আমার ছোট বোন নাচতে পারে,আমার ছোট বোন নাচতে পারে,আমার ছোট বোন নাচতে পারে,আমার ছোট বোন নাচতে পারে
আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাবে,আমার বন্ধু এবার ছুটিতে রাজশাহী ফাকানিত যাইবো,আমার বন্ধু এবার ছুটিতে রাজশাহী ঘুরতে যাবে,আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাবে,আমার বন্ধু এবার ছুটিতে রাজশাহী ফাঁকানিতে যাবে,আমার বন্ধু এবার ছুটিতে রাজশাহী ঘুরতে যাবে
আমার বন্ধু যাকে ভালবাসে সে রাজশাহী থাকে,আমার বন্ধু যারে ভালা ফায় হে রাজশাহী থাকে,আমার বন্ধু যাকে ভালোবাসে সে রাজশাহীতে থাকে,আমার বন্ধু যাকে ভালোবাসে সে রাজশাহী থাকে,আমার বন্ধু যাকে ভালোবাসে সে রাজশাহীতে থাকে,আমার বন্ধু যাকে ভালোবাসে সে রাজশাহীতে থাকে
মেয়েটি রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,ফুড়িটা রাজশাহী থাকি আমার বড় ভাইয়র লগে দেখা করাত আইছলা,মেয়েটা রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,মেয়েটি রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,মেয়েটা রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,মেয়েটা রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল
মেয়েটি এখন সিলেট যাবে,ফুড়িটা এখইন সিলট যাইবা,মেয়েটা এখন সিলেট যাবে,মেয়েটি এখন সিলেট যাবে,মেয়েটা এখন সিলেট যাবে,মেয়েটা এখন সিলেট যাবে
আমার বড় ভাই এখন তাঁর বন্ধুদের সাথে সিগারেট খায় না,আমার বড় ভাই এখইন হের বন্ধুদের লগে সিগারেট খায় না,আমার বড় ভাই এখন আর তার বন্ধুদের সাথে সিগারেট খায় না,আমার বড় ভাই এখন তাঁর বন্ধুদের সাথে সিগারেট খায় না,আমার বড় ভাই এখন তার বন্ধুদের সাথে সিগারেট খায় না,আমার বড় ভাই এখন তার বন্ধুদের সাথে সিগারেট খায় না
আপনি কি আমাকে আগে কোনদিন দেখেছেন ?,আফনে কিতা আমারে আগে কোনোদিন দেখছিলানি,আপনি কি আমাকে আগে কোনোদিন দেখেননি,আপনি কি আমাকে আগে কোনদিন দেখেছেন?,আপনি কি আমাকে আগে কোনোদিন দেখেননি,আপনি কি আমাকে আগে কোনোদিন দেখেননি
আপনি কি আমাকে চিনতে পেরেছেন?,আফনে কিতা আমারে চিনইন নি,আপনি কি আমাকে চেনেন না,আপনি কি আমাকে চিনতে পেরেছেন?,আপনি কি আমাকে চেনেন না,আপনি কি আমাকে চেনেন না
ছেলেটি আমাকে চিনতে পারল না,ফুয়াটায় আমারে চিনতে ফারলো না,মেয়েটা আমাকে চিনতে পারেনি,ছেলেটি আমাকে চিনতে পারল না,মেয়েটা আমাকে চিনতে পারল না,ছেলেটা আমাকে চিনতে পারল না
মেয়েটি তোমাকে চিনতে পারল না,ফুড়িটায় তোমারে চিনতে ফারলো না,মেয়েটা তোমাকে চিনতে পারেনি,মেয়েটি তোমাকে চিনতে পারল না,মেয়েটা তোমাকে চিনতে পারল না,মেয়েটা তোমাকে চিনতে পারল না
আমার এখন পড়ালেখা করা উচিত,আমার এখইন ফড়ালেখা করা উচিৎ,আমার এখন পড়াশোনা করা উচিত,আমার এখন পড়ালেখা করা উচিত,আমার এখন পড়াশোনা করা উচিত,আমার এখন পড়াশোনা করা উচিত
অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,অনেক রাইত অইছে এখইন আমার ছোট বোইন ঘুমাইতে যাইবো,অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে
আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,আমাকে পরিক্ষার আগে হকল কিছু নিয়া ফড়ালেখা করত অইবো,আমাকে পরীক্ষার আগে কয়েকটা বিষয় নিয়ে পড়াশোনা করতে হবে,আমাকে পরীক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,আমাকে পরীক্ষার আগে হকল কিছু নিয়ে পড়াশোনা করতে হবে,আমাকে পরীক্ষার আগে সব কিছু নিয়ে পড়াশোনা করতে হবে
আমার ছোট ভাই বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে,আমার ছোট ভাই বিদ্যালয় গিয়া বন্ধুদের লগে গল্প করইন,আমার ছোট ভাই স্কুল গিয়ে বন্ধুদের সাথে গল্প করে,আমার ছোট ভাই বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে,আমার ছোট ভাই স্কুলে গিয়ে বন্ধুদের সাথে গল্প করে,আমার ছোট ভাই স্কুলে গিয়ে বন্ধুদের সাথে গল্প করে
আমার বন্ধু বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্ধু বিদ্যালয়ের মাঠো ফতিদিন ক্রিকেট খেলইন,আমার বন্ধু স্কুলের মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্ধু বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্ধু স্কুলের মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্ধু স্কুলের মাঠে প্রতিদিন ক্রিকেট খেলে
একটি ছোট শিশু ফুটপাতে লাফাচ্ছে,একটা ছোট বাইচ্চা ফুটপাতে লাফাইরা,একটা ছোট বাচ্চা ফুটপাতে লাফাচ্ছে,একটি ছোট শিশু ফুটপাতে লাফাচ্ছে,একটা ছোট বাচ্চা ফুটপাতে লাফাচ্ছে,একটা ছোট বাচ্চা ফুটপাতে লাফাচ্ছে
আমার বান্ধুবি তার স্বামীকে খুব ভালবাসে,আমার বান্ধবী তার স্বামীরে খুব ভালা ফায়,আমার বান্ধবী তার স্বামীকে খুব ভালোবাসে,আমার বান্ধবী তার স্বামীকে খুব ভালোবাসে,আমার বান্ধবী তার স্বামীকে খুব ভালোবাসে,আমার বান্ধবী তার স্বামীকে খুব ভালোবাসে
আমার স্ত্রী আমাকে ভালোবাসে না,আমার স্ত্রী আমারে ভালা ফায় না,আমার স্ত্রী আমাকে ভালোবাসে না,আমার স্ত্রী আমাকে ভালোবাসে না,আমার স্ত্রী আমাকে ভালোবাসে না,আমার স্ত্রী আমাকে ভালোবাসে না
স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিলো,স্কুল জীবন থাকি আমার ভাইয়র লগে তোমার বোইনর প্রেম আছিল,স্কুল জীবনে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিল,স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিলো,স্কুল জীবনে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিল,স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিল
আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,আমার গতকাইল প্রচন্ড মাথা বেদনা করছিলো,আমার গতকাল প্রচণ্ড মাথাব্যথা করছিল,আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,আমার গতকাল প্রচণ্ড মাথাব্যথা করছিল,আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিল
আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না,মুই তোমার কোন মাত কিচ্ছুই বুঝতে ফারলাম না,আমি তোমার কোনো কথাই কিছুই বুঝতে পারলাম না,আমি তোমার কোনো কথাই কিছুই বুঝতে পারলাম না,আমি তোমার কোনো কথাই বুঝতে পারলাম না,আমি তোমার কোনো কথা কিছুই বুঝতে পারলাম না
তোমার হাশির কাছে আমার সব কিছু হার মেনে যায়,তোমার হাশির কাছে আমার হকল কিছু হার মানিয়া যায়,তোমার হাসির কাছে আমার কোনো কিছু হার মানিয়ে যায়,তোমার হাসির কাছে আমার সব কিছু হার মানিয়ে যায়,তোমার হাসির কাছে আমার সবকিছু হার মেনে যায়,তোমার হাসির কাছে আমার সব কিছু হার মেনে যায়
তোমার চোখ দুটো অনেক সুন্দর,তোমার চোউক দুইটা অনেক সুন্দর,তোমার চোখ দুটো অনেক সুন্দর,তোমার চোখ দুটো অনেক সুন্দর,তোমার চোখ দুটো অনেক সুন্দর,তোমার চোখ দুটো অনেক সুন্দর
তোমার সাথে অনেক দিন পর দেখা,তোমার লগে অনেক দিন পর দেখা,তোমার সাথে অনেক দিন পর দেখা,তোমার সাথে অনেক দিন পর দেখা,তোমার সাথে অনেক দিন পর দেখা,তোমার সাথে অনেক দিন পর দেখা
ছেলেটি বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,ফুয়াটা বিদোশো গিয়া ফড়ালেখা করার স্বপ্ন দেখে,মেয়েটা বিদেশ গিয়ে পড়াশোনা করার স্বপ্ন দেখে,ছেলেটা বিদেশে গিয়ে পড়াশোনা করার স্বপ্ন দেখে,ছেলেটি বিদেশে গিয়ে পড়াশোনা করার স্বপ্ন দেখে,ছেলেটা বিদেশে গিয়ে পড়াশোনা করার স্বপ্ন দেখে
তোমার সাথে কথা বলে আমার অনেক ভালো লাগলো,তোমার লগে মাতিয়া আমার অনেক ভালা লাগছে,তোমার সাথে মিশে আমার অনেক ভালো লাগছে,তোমার সাথে মিশে আমার অনেক ভালো লাগছে,তোমার সাথে কথা বলে আমার অনেক ভালো লাগল,তোমার সাথে কথা বলে আমার অনেক ভালো লাগছে
তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগলো,তোমার বন্ধুর লগে পরিচত হইয়া ভালা লাগলো,তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগল,তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগলো,তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগল,তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগলো
আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়া মাইর অয়,আমার বাবু আর চাচার মধ্যে জায়গা জমি নিয়ে মারামারি হয়েছে,আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়
লোকটি কিছু দিন আগে বিয়ে করেন,লোকটা কিছুদিন আগে বিয়া করছইন,লোকটা কিছুদিন আগে বিয়ে করেছে,লোকটা কিছুদিন আগে বিয়ে করেছে,লোকটি কিছু দিন আগে বিয়ে করেছে,লোকটা কিছুদিন আগে বিয়ে করেছেন
প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,প্রথমে তোমাকে একটা বইয়ের দোখানো যাইতে হইবো,প্রথমে তোমাকে একটা বইয়ের দোকানে যেতে হবে,প্রথমে তোমাকে একটা বইয়ের দোকানে যেতে হবে,প্রথমে তোমাকে একটা বইয়ের দোকানে যেতে হবে,প্রথমে তোমাকে একটা বইয়ের দোকানে যেতে হবে
বেশি কিছু বলার আগেই আবেগে চোখে পানি চলে আসছে,বেশি কিছু বলার আগেই আবেগে চোউক এর ফানি চলে আইতেছে,বেশি কিছু বলার আগেই আবেগে চোখের জল চলে আসছে,বেশি কিছু বলার আগেই আবেগে চোখের জল চলে আসছে,বেশি কিছু বলার আগেই আবেগে চোখে পানি চলে আসছে,বেশি কিছু বলার আগেই আবেগে চোখের পানি চলে আসছে
আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,আফনার বন্ধুদের গালি দেওয়ার সুযোগ কইরা দিন,আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন
অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,অনেক মানুষ এখোনো পেছনো লাইনো দাঁড়িয়া আছইন,অনেক মানুষ এখনও পেছনের লাইনে দাঁড়িয়ে আছে,অনেক মানুষ এখনও পেছনের লাইনে দাঁড়িয়ে আছে,অনেক মানুষ এখনও পেছনে লাইনে দাঁড়িয়ে আছে,অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে
একজন মহিলা মারা গেছেন,একজন বেডি মারা গেছইন,একজন বেড়ি মারা গেছে,একজন বয়স্ক মানুষ মারা গেছে,একজন মহিলা মারা গেছেন,একজন মহিলা মারা গেছেন
আপনি এত গরীব আগে কেন বলেননি,আফনি এত গরীব আগে কেনে কইলা না,আপনি এত গরীব আগে কেন বলেননি,আপনি এত গরিব আগে কেন বললেন না,আপনি এত গরিব আগে কেন বলেননি,আপনি এত গরীব আগে কেন বলেননি
তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নাই,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই
আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,মুই আগেই কইছলাম তোমারে নিয়া বিদেশ ফাকাইতে চাই,আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই
আমার আম্মু আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,আমার আম্মা আমাকে হকলের সামনে মারতে মারতে বাসাত নিয়া আইছে,আমার আম্মা আমাকে হকলের সামনে মারতে মারতে বাসায় নিয়ে এসেছে,আমার আম্মা আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে এসেছে,আমার আম্মু আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,আমার আম্মা আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে এসেছে
আপনি কি জানেন এখানে অনেক ছেলে কমেন্ট পড়তে আসবে,আফনি কিতা জানেন এখানে অনেক ফুয়াইন কমেন্ট ফরাত আইবা,আপনি কি জানেন এখানে অনেক মেয়েরা কমেন্ট করতে আসে,আপনি কি জানেন এখানে অনেক ছেলের কমেন্ট পড়তে আসবে,আপনি কি জানেন এখানে অনেক ছেলে কমেন্ট পড়তে আসবে,আপনি কি জানেন এখানে অনেক ছেলে কমেন্ট পড়তে আসবে
আবেগের ভালোবাসা কাউকে দেওয়া উচিত না,আবেগর ভালোবাসা কাউকে দেওয়া উচিৎ না,আবেগের ভালোবাসা কাউকে দেওয়া উচিত না,আবেগের ভালোবাসা কাউকে দেওয়া উচিত না,আবেগের ভালোবাসা কাউকে দেওয়া উচিত না,আবেগের ভালোবাসা কাউকে দেওয়া উচিত না
একদিন বিবেকের কাছে আবেগের ভালোবাসা হেরে যাবে,একদিন বিবেকের কাছে আবেগর ভালোবাসা হারিয়া যাইবো,একদিন বিবেকের কাছে আবেগের ভালোবাসা হারিয়ে যাবে,একদিন বিবেকের কাছে আবেগের ভালোবাসা হারিয়ে যাবো,একদিন বিবেকের কাছে আবেগের ভালোবাসা হেরে যাবে,একদিন বিবেকের কাছে আবেগের ভালোবাসা হারিয়ে যাবে
আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে,আমার মনের ভালোবাসা চিরদিন তোমার লাগি থাইকা যাইবো,আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে,আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে,আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে,আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে
জীবনে একা একা পথ চলা অনেক কঠিন,জীবনে একলা একলা ফথ চলা অনেক কঠিন,জীবনে একা একা পথ চলা অনেক কঠিন,জীবনে একা একা পথ চলা অনেক কঠিন,জীবনে একা একা পথ চলা অনেক কঠিন,জীবনে একা একা পথ চলা অনেক কঠিন
