bangla_speech,sylhet_bangla_speech,zero,few,cot,context
আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,মোর ছোট ভাই একদমই পড়ালেখা করতে চাইন না,আমার ছোট ভাই একদমই পড়াশোনা করতে চায় না।,আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,আমার ছোট ভাই একদমই পড়াশোনা করতে চায় না,আমার ছোট ভাই একদমই পড়াশোনা করতে চায় না
আমার ছোট ভাই বিদ্যালয়ে যেতে চায় না,মোর ছোট ভাই বিদ্যালয় যাইতে চায় না,আমার ছোট ভাই বিদ্যালয়ে যেতে চায় না।,আমার ছোট ভাই বিদ্যালয়ে যেতে চায় না,আমার ছোট ভাই স্কুলে যেতে চায় না,আমার ছোট ভাই বিদ্যালয়ে যেতে চায় না
আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,মোর ছোট ভাইয়র বিদ্যালয়ে গিয়া পড়ালেখা করতে ভালা লাগে নানি,আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়াশোনা করতে ভালো লাগে না।,আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভালো লাগে না,আমার ছোট ভাইয়ের স্কুলে গিয়ে পড়াশোনা করতে ভালো লাগে না,আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়াশোনা করতে ভালো লাগে না
আমি একদিন বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিলাম,মুই একদিন বিদ্যালয়ের মাঠো মাথা ঘোরাইয়া ফরি গেছিলাম,আমি একদিন বিদ্যালয়ের মাঠে মাথা ঘুরে পড়ে গিয়েছিলাম।,আমি একদিন বিদ্যালয়ের মাঠে মাথা ঘুরে পড়ে গিয়েছিলাম,আমি একদিন স্কুলের মাঠে মাথা ঘুরে পড়ে গিয়েছিলাম,আমি একদিন বিদ্যালয়ের মাঠে মাথা ঘুরে পড়ে গিয়েছিলাম
আপনি কি আমাকে কোনদিনও ভালবাসবেন না ?,আফনে কিতা আমারে কোনোদিনও ভালা ফাইতা না,আপনি কি আমাকে কোনোদিনও ভালোবাসবেন না?,আপনি কি আমাকে কোনোদিনও ভালোবেসেছেন না?,আপনি কি আমাকে কোনোদিনও ভালোবেসেছেন না,আপনি কি আমাকে কোনোদিনও ভালোবেসেছেন না?
আমার বন্ধু আজকে সকালে ফুটবল খেলেছে,আমার বন্ধু আইজকে সকালে ফুটবল খেলছে,আমার বন্ধু আজ সকালে ফুটবল খেলেছে।,আমার বন্ধু আজ সকালে ফুটবল খেলছে,আমার বন্ধু আজ সকালে ফুটবল খেলেছে,আমার বন্ধু আজ সকালে ফুটবল খেলছে
তুমি আমার মনের কথা একদমই বুঝো না,তুমি আমার ভিতরর মাত একদমই বুঝো না,তুমি আমার মনের কথা একদমই বোঝো না।,তুমি আমার মনের কথা একদমই বোঝো না,তুমি আমার মনের কথা একদমই বোঝো না,তুমি আমার মনের কথা একদমই বোঝ না
আমার আম্মু অনেক ভালো রান্না করে,আমার মাই অনেক ভালা রান্দা করইন,আমার মা খুব ভালো রান্না করেন।,আমার মা অনেক ভালো রান্না করেন,আমার মা খুব ভালো রান্না করেন,আমার মা অনেক ভালো রান্না করেন
আমার বন্ধু এখন ঘুমাতে যাবে,আমার বন্ধু এখন হুতনো যাইবো,আমার বন্ধু এখন ঘুমাতে যাবে।,আমার বন্ধু এখন হাটে যাবে,আমার বন্ধু এখন হাটে যাবে,আমার বন্ধু এখন হাটে যাবে
আমার ছোট বোন নাচতে পারে,আমার ছোট বোইন নাচতে ফারে,আমার ছোট বোন নাচতে পারে।,আমার ছোট বোন নাচতে পারে,আমার ছোট বোন নাচতে পারে,আমার ছোট বোন নাচতে পারে
আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাবে,আমার বন্ধু এবার ছুটিতে রাজশাহী ফাকানিত যাইবো,আমার বন্ধু এবারের ছুটিতে রাজশাহী ঘুরতে যাবে।,আমার বন্ধু এবার ছুটিতে রাজশাহী বেড়াতে যাবে,আমার বন্ধু এবার ছুটিতে রাজশাহী বেড়াতে যাবে,আমার বন্ধু এবার ছুটিতে রাজশাহী বেড়াতে যাবে
আমার বন্ধু যাকে ভালবাসে সে রাজশাহী থাকে,আমার বন্ধু যারে ভালা ফায় হে রাজশাহী থাকে,আমার বন্ধু যাকে ভালোবাসে সে রাজশাহীতে থাকে।,আমার বন্ধু যাকে ভালোবাসে সে রাজশাহীতে থাকে,আমার বন্ধু যাকে ভালোবাসে সে রাজশাহীতে থাকে,আমার বন্ধু যাকে ভালোবাসে সে রাজশাহীতে থাকে
মেয়েটি রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,ফুড়িটা রাজশাহী থাকি আমার বড় ভাইয়র লগে দেখা করাত আইছলা,মেয়েটি রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল।,মেয়েটি রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,মেয়েটি রাজশাহী থেকে আমার বড় ভাইয়ের সঙ্গে দেখা করতে এসেছিল,মেয়েটি রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল
মেয়েটি এখন সিলেট যাবে,ফুড়িটা এখইন সিলট যাইবা,মেয়েটি এখন সিলেট যাবে।,মেয়েটি এখন সিলেট যাবে,মেয়েটি এখন সিলেটে যাবে,মেয়েটি এখন সিলেটে যাবে
আমার বড় ভাই এখন তাঁর বন্ধুদের সাথে সিগারেট খায় না,আমার বড় ভাই এখইন হের বন্ধুদের লগে সিগারেট খায় না,আমার বড় ভাই এখন তার বন্ধুদের সাথে সিগারেট খায় না।,আমার বড় ভাই এখন আর তার বন্ধুদের সাথে সিগারেট খায় না,আমার বড় ভাই এখন তার বন্ধুদের সঙ্গে সিগারেট খায় না,আমার বড় ভাই এখন তার বন্ধুদের সাথে সিগারেট খায় না
আপনি কি আমাকে আগে কোনদিন দেখেছেন ?,আফনে কিতা আমারে আগে কোনোদিন দেখছিলানি,আপনি কি আমাকে আগে কোনোদিন দেখেছেন?,আপনি কি আমাকে আগে কোনোদিন দেখেননি?,আপনি কি আমাকে আগে কোনোদিন দেখেননি,আপনি কি আমাকে আগে কোনোদিন দেখেছিলেন না?
আপনি কি আমাকে চিনতে পেরেছেন?,আফনে কিতা আমারে চিনইন নি,আপনি কি আমাকে চিনতে পেরেছেন?,আপনি কি আমাকে চিনেন না?,আপনি কি আমাকে চিনতে পারেননি,আপনি কি আমাকে চিনতে পারেননি?
ছেলেটি আমাকে চিনতে পারল না,ফুয়াটায় আমারে চিনতে ফারলো না,ছেলেটি আমাকে চিনতে পারল না।,ছেলেটি আমাকে চিনতে পারল না,ছেলেটি আমাকে চিনতে পারেনি,ছেলেটি আমাকে চিনতে পারলো না
মেয়েটি তোমাকে চিনতে পারল না,ফুড়িটায় তোমারে চিনতে ফারলো না,মেয়েটি তোমাকে চিনতে পারল না।,মেয়েটি তোমাকে চিনতে পারল না,মেয়েটি তোমাকে চিনতে পারেনি,মেয়েটি তোমাকে চিনতে পারলো না
আমার এখন পড়ালেখা করা উচিত,আমার এখইন ফড়ালেখা করা উচিৎ,আমার এখন পড়াশোনা করা উচিত।,আমার এখন পড়ালেখা করা উচিত,আমার এখন পড়াশোনা করা উচিত,আমার এখন পড়াশোনা করা উচিত
অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,অনেক রাইত অইছে এখইন আমার ছোট বোইন ঘুমাইতে যাইবো,"অনেক রাত হয়েছে, এখন আমার ছোট বোন ঘুমাতে যাবে।","অনেক রাত হয়েছে, এখন আমার ছোট বোন ঘুমাতে যাবে","অনেক রাত হয়েছে, এখন আমার ছোট বোন ঘুমাতে যাবে","অনেক রাত হয়েছে, এখন আমার ছোট বোন ঘুমাতে যাবে"
আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,আমাকে পরিক্ষার আগে হকল কিছু নিয়া ফড়ালেখা করত অইবো,আমাকে পরীক্ষার আগে সব কিছু নিয়ে পড়তে হবে।,আমাকে পরীক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,আমাকে পরীক্ষার আগে সবকিছু নিয়ে পড়াশোনা করতে হবে,আমাকে পরীক্ষার আগে সব কিছু নিয়ে পড়াশোনা করতে হবে
আমার ছোট ভাই বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে,আমার ছোট ভাই বিদ্যালয় গিয়া বন্ধুদের লগে গল্প করইন,আমার ছোট ভাই বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে।,আমার ছোট ভাই বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে,আমার ছোট ভাই স্কুলে গিয়ে বন্ধুদের সঙ্গে গল্প করে,আমার ছোট ভাই বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে
আমার বন্ধু বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্ধু বিদ্যালয়ের মাঠো ফতিদিন ক্রিকেট খেলইন,আমার বন্ধু বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে।,আমার বন্ধু বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্ধু স্কুলের মাঠে প্রতিদিন ক্রিকেট খেলে,আমার বন্ধু বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে
একটি ছোট শিশু ফুটপাতে লাফাচ্ছে,একটা ছোট বাইচ্চা ফুটপাতে লাফাইরা,একটি ছোট শিশু ফুটপাথে লাফাচ্ছে।,একটা ছোট বাচ্চা ফুটপাথে লাফাচ্ছে,একটা ছোট বাচ্চা ফুটপাতে লাফাচ্ছে,একটা ছোট বাচ্চা ফুটপাতে লাফাচ্ছে
আমার বান্ধুবি তার স্বামীকে খুব ভালবাসে,আমার বান্ধবী তার স্বামীরে খুব ভালা ফায়,আমার বান্ধবী তার স্বামীকে খুব ভালোবাসে।,আমার বান্ধবী তার স্বামীকে খুব ভালোবাসে,আমার বান্ধবী তার স্বামীকে খুব ভালোবাসে,আমার বান্ধবী তার স্বামীকে খুব ভালোবাসে
আমার স্ত্রী আমাকে ভালোবাসে না,আমার স্ত্রী আমারে ভালা ফায় না,আমার স্ত্রী আমাকে ভালোবাসে না।,আমার স্ত্রী আমাকে ভালোবাসে না,আমার স্ত্রী আমাকে ভালোবাসে না,আমার স্ত্রী আমাকে ভালোবাসে না
স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিলো,স্কুল জীবন থাকি আমার ভাইয়র লগে তোমার বোইনর প্রেম আছিল,স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিল।,স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিল,স্কুল জীবন থেকে আমার ভাইয়ের সঙ্গে তোমার বোনের প্রেম ছিল,স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিল
আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,আমার গতকাইল প্রচন্ড মাথা বেদনা করছিলো,আমার গতকাল প্রচণ্ড মাথাব্যথা করছিল।,আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিল,আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিল,আমার গতকাইল প্রচন্ড মাথাত বেদনা করছিল
আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না,মুই তোমার কোন মাত কিচ্ছুই বুঝতে ফারলাম না,আমি তোমার কোনো কথা কিছুই বুঝতে পারলাম না।,আমি তোমার কোন কথা কিছুও বুঝতে পারলাম না,আমি তোমার কোনো কথাই কিছুই বুঝতে পারলাম না,মুই তুমার কুন মাত কিচ্চু বুজতাম পারলাম না
তোমার হাশির কাছে আমার সব কিছু হার মেনে যায়,তোমার হাশির কাছে আমার হকল কিছু হার মানিয়া যায়,তোমার হাসির কাছে আমার সব কিছু হার মানে।,তোমার হাসির কাছে আমার সব কিছু হার মানে,তোমার হাসির কাছে আমার সবকিছু হার মেনে যায়,তুমার হাশির কছে আমার হকল কিছি হার মানে যায়
তোমার চোখ দুটো অনেক সুন্দর,তোমার চোউক দুইটা অনেক সুন্দর,তোমার চোখ দুটো খুব সুন্দর।,তোমার চোখ দুটো অনেক সুন্দর,তোমার চোখ দুটি অনেক সুন্দর,তুমার চউক দুইটা অনেক সুন্দর
তোমার সাথে অনেক দিন পর দেখা,তোমার লগে অনেক দিন পর দেখা,তোমার সাথে অনেক দিন পর দেখা হলো।,তোমার সাথে অনেক দিন পর দেখা,তোমার সাথে অনেক দিন পর দেখা,তুমার লগে অনেক দিন ফুর দেখা
ছেলেটি বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,ফুয়াটা বিদোশো গিয়া ফড়ালেখা করার স্বপ্ন দেখে,ছেলেটি বিদেশে গিয়ে পড়াশোনা করার স্বপ্ন দেখে।,ছেলেটি বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,ছেলেটি বিদেশে গিয়ে পড়াশোনা করার স্বপ্ন দেখে,ফুয়াটা বিদোশে গিয়া পড়ালেখা করার সফন দেখে
তোমার সাথে কথা বলে আমার অনেক ভালো লাগলো,তোমার লগে মাতিয়া আমার অনেক ভালা লাগছে,তোমার সাথে কথা বলে আমার খুব ভালো লাগছে।,তোমার সাথে কথা বলে আমার অনেক ভালো লাগছে,তোমার সাথে কথা বলে আমার অনেক ভালো লাগছে,তুমার লগে মাতিয়া আমার অনেক ভালা লাগলো
তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগলো,তোমার বন্ধুর লগে পরিচত হইয়া ভালা লাগলো,তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগল।,তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগলো,তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগলো,তুমার বন্ধুর লগে পরিচিত অইয়া ভালা লাগলো
আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়া মাইর অয়,আমার বাবা আর চাচার মধ্যে জায়গা-জমি নিয়ে ঝগড়া হয়।,আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,আমার বাবা আর চাচার মধ্যে জায়গা-জমি নিয়ে ঝগড়া হয়,আমার আব্বু আর চাচার মাজে জাগা জমিন লইয়া মাইর অয়
লোকটি কিছু দিন আগে বিয়ে করেন,লোকটা কিছুদিন আগে বিয়া করছইন,লোকটি কিছুদিন আগে বিয়ে করেছেন।,লোকটি কিছুদিন আগে বিয়ে করেছেন,লোকটি কিছুদিন আগে বিয়ে করেছেন,বেটা কিছিদিন আগে বিয়া করইন
প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,প্রথমে তোমাকে একটা বইয়ের দোখানো যাইতে হইবো,প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে।,প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,প্রথমে তোমাকে একটা বইয়ের দোকানে যেতে হবে,পয়লা তুমারে এখটা বইর দুকানত যাইতে অইবো
বেশি কিছু বলার আগেই আবেগে চোখে পানি চলে আসছে,বেশি কিছু বলার আগেই আবেগে চোউক এর ফানি চলে আইতেছে,বেশি কিছু বলার আগেই আবেগে চোখে পানি চলে আসে।,বেশি কিছু বলার আগেই আবেগে চোখে পানি চলে আসছে,বেশি কিছু বলার আগেই আবেগে চোখে পানি চলে আসছে,বেশি কিছি খইবার আগেই আবেগে চউকুত পানি আইছে
আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,আফনার বন্ধুদের গালি দেওয়ার সুযোগ কইরা দিন,আপনার বন্ধুদের গালি দেওয়ার সুযোগ দিন।,আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,আফনার বন্ধুদের গালি দিবার সুযুগ কইরা দেউন
অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,অনেক মানুষ এখোনো পেছনো লাইনো দাঁড়িয়া আছইন,অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে।,অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,অনেক মানুষ এখনো পেছনের লাইনে দাঁড়িয়ে আছে,অনেক মানুষ এখনো পেছনো লাইনে উবানিত আছে
একজন মহিলা মারা গেছেন,একজন বেডি মারা গেছইন,একজন মহিলা মারা গেছেন।,একজন মহিলা মারা গেছেন,একজন মহিলা মারা গেছেন,এখজন বেটি মরি গেছইন
আপনি এত গরীব আগে কেন বলেননি,আফনি এত গরীব আগে কেনে কইলা না,আপনি এত গরিব আগে কেন বললেন না?,আপনি এত গরীব আগে কেন বললেন না,আপনি এত গরিব আগে কেন বলেননি,আফনে এত গরীব আগেই কিয়েন কইলেন নি
তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নাই,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই।,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,তুমি ছাড়া এই দুনিয়াত আমার আর খেউ নাই
আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,মুই আগেই কইছলাম তোমারে নিয়া বিদেশ ফাকাইতে চাই,আমি আগেই বলেছি তোমাকে নিয়ে বিদেশে ঘুরতে চাই।,আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,আমি আগেই বলেছি তোমাকে নিয়ে বিদেশে যেতে চাই,মুই আগেই খইছি তুমারে লইয়া বিদোশ গুরাত চাই
আমার আম্মু আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,আমার আম্মা আমাকে হকলের সামনে মারতে মারতে বাসাত নিয়া আইছে,আমার মা আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে এসেছেন।,আমার আম্মা আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে এসেছে,আমার মা আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে এসেছেন,আমার আম্মু আমারে সবার সামনে মারতে মারতে গর নিয়া আইলো
আপনি কি জানেন এখানে অনেক ছেলে কমেন্ট পড়তে আসবে,আফনি কিতা জানেন এখানে অনেক ফুয়াইন কমেন্ট ফরাত আইবা,আপনি কি জানেন এখানে অনেক ছেলে মন্তব্য পড়তে আসবে?,আপনি কি জানেন এখানে অনেক ছেলেরা কমেন্ট পড়তে আসবে,আপনি কি জানেন এখানে অনেক মেয়ে মন্তব্য করতে আসবে,আফনে কিতা জানইন হিকানে অনেক ফুয়া কমেন্ট ফরাত আইবো
আবেগের ভালোবাসা কাউকে দেওয়া উচিত না,আবেগর ভালোবাসা কাউকে দেওয়া উচিৎ না,আবেগের ভালোবাসা কাউকে দেওয়া উচিত নয়।,আবেগের ভালোবাসা কাউকে দেওয়া উচিত না,আবেগের ভালোবাসা কাউকে দেওয়া উচিত নয়,আবেগর ভালাপাওয়া খেউরে দিবার উচিত নায়
একদিন বিবেকের কাছে আবেগের ভালোবাসা হেরে যাবে,একদিন বিবেকের কাছে আবেগর ভালোবাসা হারিয়া যাইবো,একদিন বিবেকের কাছে আবেগের ভালোবাসা হেরে যাবে।,একদিন বিবেকের কাছে আবেগের ভালোবাসা হেরে যাবে,একদিন বিবেকের কাছে আবেগের ভালোবাসা হারিয়ে যাবে,এখদিন বিবেকর কছে আবেগর ভালাপাওয়া হারি যাইবো
আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে,আমার মনের ভালোবাসা চিরদিন তোমার লাগি থাইকা যাইবো,আমার মনের ভালোবাসা চিরদিন তোমার জন্য থাকবে।,আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে,আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে,আমার মনর ভালাপাওয়া চিরদিন তুমার লাগি থাইয়া যাইবো
জীবনে একা একা পথ চলা অনেক কঠিন,জীবনে একলা একলা ফথ চলা অনেক কঠিন,জীবনে একা একা পথ চলা খুব কঠিন।,জীবনে একা একা পথ চলা অনেক কঠিন,জীবনে একা একা পথ চলা অনেক কঠিন,জিন্দেগিত একলা একলা পথম এত্ত কষ্ট
