,Bangla,sylheti
181,আমরাই,আমরাউ
182,আমলের,আমলি
183,আমাকে,আমারে
184,আমাকে , আমারে 
185,আমাকেতো,আমারে
186,আমাকেে,আমারে
187,আমাজন,আমাজন
188,আমাদের,আমরা
189,আমাদেরকে,আমরারে
190,আমায়,রাকিও
191,আমায়,"আমারে, ছাড়িয়া, মানিয়া"
192,আমার,আমার / মোর (context-dependent)
193,আমার ,মোর লগে
194,আমার কিছু,আমার কুনতা
195,"আমার,",আমার
196,আমারই,আমার
197,আমি,আমি
198,"আমি,","আছি,, আমি,"
199,আমিও,"আমিও, মুইও"
200,আমিতো,আমিতো
201,আমের,"আম, আমের"
202,আম্মা,আম্মায়
203,আম্মার,আম্মার
204,আম্মু,"আম্মা, আম্মারে, আম্মায়, মুই, মুর"
205,আম্মুই,আম্মায়
206,আম্মুকে,"আম্মারে, মোর"
207,আম্মুর,আম্মার
208,আয়,আয়
209,আয়োজন,আয়োজন
210,আর,আর
211,আরও,আরো
212,আরম্ভ,আরম্ব
213,আরামপ্রিয়,আরামপ্রিয়
214,আরামে,দিতাম
215,আরে!,আরেহ!
216,আরেক,"আর, আরোখ"
217,আরেকজন,আরোখজনরে
218,আরেকটা,"আরেকটা, আরোখটা"
219,আরেকটু,"আর, আরো"
220,আরো,আরো
221,আর্জেন্টিনা,আর্জেন্টিনার
222,আলহামদুলিল্লাহ,আলহামদুলিল্লাহ
223,আলাদা,"আলাদা, আলেদা"
224,আলো,আলো
225,আলো-হাওয়া,আলো
226,আলোচনা,আলোচনা
227,আল্লাহ,আল্লাহ
228,আল্লাহর,"আল্লার, খুুদার"
229,আশা,আশা
230,আশা দেয়,আশা দেয়
231,আশেপাশে,আশেপাশে
232,আসক্ত,"ডুবি, মগ্ন"
233,আসছে,"আইছলা, আইরা, আইরো"
234,আসতে,আইতে
235,আসবাবপত্র,আসবাবপত্র
236,আসবে,"আইবা, আইবো"
237,আসবে?,আইবো
238,আসবেই,আইবউ
239,আসবেন,যেন
240,আসবো,আইতাম
241,আসল,আসল
242,আসলাম,"আইলাম, আইসি"
243,আসলে,"আইলে, আসলে, আসলেউ, চেহারার"
244,আসলেই,আসলেউ
245,আসলো,ভালা
246,আসা,আওয়া
247,আসার,"আওয়ার, ওর"
248,আসি,আই
249,আসিনি,না
250,আসুন,থাকোউকা
251,আসে,আয়
252,"আসে,তবে"," আয়,"
253,আসেন,আইন
254,আসেনা,না
255,আসেনি,আইছে
256,আসো,আও
257,আহত,আধা
258,আহমেদ,আহমেদ
259,আহা!,হারি
260,আহ্!,এরেহ!
261,ই,চালাইন
262,ইউরোপে,ইউরোপ
263,ইচ্ছা,"ইচ্চা, ইচ্ছা, ইচ্ছাউ, শখ"
264,ইচ্ছায়,ইচ্ছাত
265,ইচ্ছে,ইচ্ছা
266,ইট,ইট
267,ইতিহাস,সব
268,ইদানীং,ইদানীং
269,ইয়ারে,ইয়ারো
270,ইংরেজিতে?,নি?
271,ইলিশ,ইলিশ
272,ইসলামিক,ইসলামিক
273,ঈদ,"ইদ, ঈদ"
274,ঈদে,ইদো
275,ঈদের,ইদর
276,উচিত,উচিত
277,উচ্চ,উচা
278,উচ্চারণ,উচ্চারণ
279,উঠছে,উটের
280,উঠত,যাইতো
281,উঠতে,"উঠতা, উঠতাম, উঠতো"
282,উঠতো,উঠতো
283,উঠল,উটলো
284,"উঠল,","উঠলো,"
285,উঠান,"উটান, উঠান"
286,উঠানে,হুরুুতাইন
287,উঠার,উটিয়া
288,উঠি,উঠি
289,উঠে,"উঠি, উঠিয়া"
290,উঠেই,উঠিয়াউ
291,উঠেছে,উটছে
292,উড়ছে,উড়ের
293,উড়তে,উড়তাম
294,উড়ন্ত,উড়া
295,উত্তম,ভালা
296,উত্তর,উত্তর
297,উত্তরাতে,উত্তরাত
298,উৎসব,উৎসব
299,উদাহরণ,উদাহরণ
300,উনাকে,হুনিয়া
301,উনাদের,"উফরে, নায়"
302,উনার,"তাইনর, তানর, "
303,উনারা,তারা
304,উনি,"তাইন, "
305,উনিশ,উন্নিশ
306,উন্নতি,উন্নতি
307,উপকার,"উফোকার, পারইন"
308,উপকারী,উফকারী
309,উপদেশ,জ্ঞান
310,উপমহাদেশেই,আছে
311,উপযোগী,উপযগি
312,উপর,"উফরে, "
313,উপরহার,উপহার
314,উপরে,
315,উপস্থাপন,চাইছইন
316,উপস্থিত,উপস্থিত
317,উপহার,উপহার
318,উপায়,উপায়
319,উপায়,"উপায়, উফায়, নৌকা"
320,উরাই,উড়াই
321,উরাবো,উড়াইমু
322,উলটে,উল্টাইয়া
323,উল্টা,"আউল, আবার"
324,উল্টো,উলটা
325,উল্টোপাল্টা,উলটাপালটা
326,ঋতুর,ঋতুর
327,এই,অউ
328,এই জিনিষটা,অউ জিনিসটা
329,এইগুলো,"অতা, ইতা"
330,এইচএসসি,এইচএসসি
331,এইটা,"অখটা, অতা, ইকটা, কইয়া"
332,এইটাই,অখটাউ
333,এইটুকু,তুমার
334,এইবার,বার
335,এইভাবেই,ফারে
336,এক,এখ
337,একইদিনে,দিনেউ
338,একজন,এখ
339,একজনকে,এখজনরে
340,একজনের,একগুর
341,একটা,এখটা
342,একটাই,এখটাউ
343,একটানা,এখটানা
344,একটি,এখটা
345,একটু,"এখটু, কম, কমাইয়া, থুরা"
346,একটুও,"আমার, থুরাও"
347,একদম,পুরাপুরি
348,একদমই,এখেবারেউ / এখদম
349,একদল,"একপাল, এখ"
350,একদিন,এখদিন
351,একদিনও,"একদিনও, এখদিনও"
352,একধরনের,ধরনর
353,একবার,এখবার
354,একবারও,এখবারো
355,একমাত্র,খালি
356,একসঙ্গে,একলগে
357,একসময়,এখসময়
358,একসময়ে,এখ
359,একসাথে,সময়ে
360,একা,একলা
361,একাই,এখলাউ
362,একাধিক,লাগে
363,একি,এক
364,একে,"একে,"
365,একেক,এখত
366,একেবারেই,এখেবারেউ
367,একের,এখটার
368,এক্স,এক্স
369,এখন,এখন
370,এখন?,ওখন?
371,এখনই,এখন
372,এখনও,এখনো
373,এখনো,এবো ধরি
374,এখানে,শেষ
375,এগিয়ে,ফিরিয়া
376,এগিয়ে,"আওগাইয়া, আজ্ঞাই"
377,এগিয়েছে,আওগাইছে
378,এগুলো,অতা
379,এটা,হুনার
380,এটার,অটার
381,এটি,ইখটা
382,এড়িয়ে,এড়াইয়া
383,এত,জলদি
384,এতটাও,ওতোও
385,এতে,"এতে, তউ"
386,এতো,এতো
387,এতোই,অতউ
388,এদিকে,"অবায়দি, ইবায়দি, কারেন্ট"
389,এনে,"আনিয়া, এখান"
390,এনেছি,আনছি
391,এনেছে,"আনছইন, আনছে"
392,এপারে,পড়া
393,এবং,আর
394,এবছর,বৎসর
395,এবার,এবার
396,এবারের,ওবার
397,এভাবে,"ওলাউ, ওলায়, লগে, লাগে"
398,এভাবেই,অলাউ
399,এমন,অলা
400,এমনি,এমনে
401,এমনিই,এমনেউ
402,এমনিতেই,এমনেউ
403,এয়ার্পোটে,এয়ারপোর্ট
404,এর,উফরে
405,এরই,এর
406,এরকম,"অতা, অলাখান, আর, ইলান, খরি"
407,এরপর,"এর, এরবাদে"
408,এলাকাতে,এলাকাত
409,এলাকায়,"এলাকাত, এলাকায়"
410,এলাকার,জাগার
411,এলাম,"আইছি, আইলাম, ওবায়, গেলাম"
412,এলে,আইলেও
413,এলোমেলো,"উলটপালট, হকল"
414,এসএসসি,এসএসসি
415,এসব,কিতা
416,এসে,আইওয়
417,এসেই,আইয়াও
418,এসেছি,"আইছি, আইলাম"
419,এসেছিল,আইছিল
420,এসেছে,আইছে
421,এসেছেন,"আইছইন, আইছোইন"
422,ঐ,হউ
423,ঐতিহাসিক,ঐতিহাসিক
424,ঐদিন,হেদিন
425,ও,"আর, ও, ওইলো, ওউ, ওর, খরইন, তাইন, তাাইন"
426,ওই,"চাইছিল, তাইর, ফাও, মুই, মুুইও, হউ"
427,ওইটা,হতা
428,ওকে,"তারে, বাক্কা"
429,ওখানে,হনো
430,ওখানেই,হনউ
431,ওজন,ওজন
432,ওটা,ওয়
433,ওঠে,উঠলো
434,ওতো,অতো
435,ওদের,"এহে, তারার, দেখছি, হেরার"
436,ওনারা,তারা
437,ওয়াসা,ওয়াসায়
438,ওর,"খরি, তান, তার"
439,ওরা,"ওর, তারা"
440,কই,ওই
441,কক্সবাজার,কক্সবাজার
442,কখন,কুন
443,কখনই,কোন সময় ওউ
444,কখনো,না
445,কচি,কচিন
446,কঠিন,"অইয়া, কটিন, কঠিন, জটিল"
447,কত,খত
448,"কতকিছু,","খতকিছু,"
449,কতটা,"কতখান, ভালাপাই?, হুরুতাইন"
450,কতবার,খতবার
451,কতো,"কত, কুনো, খতো"
452,কথা,মাতবায়
453,কথা বলা,মাতা
454,কথা বলার,মাতার
455,কথা?,মাত?
456,কথাই,"কথাউ, খতাউ, মাত"
457,কথাও,মাতও
458,কথাটা,ভালার
459,কথাটি,কথা
460,কথাবার্তা,মাত
461,কথায়,"অউক, খতায়, মাতে, মাতো"
462,কথায়,কিওর
463,কথার,"কইলা, করি, মাতর"
464,কন্যা,ফুড়ি
465,কন্যাকে,"কিন্তু, ফুড়িরে"
466,কন্যার,মোর
467,কন্সিডার,কন্সিডার
468,কপি,এখটা
469,কফি,কফি
470,কবিতা,কবিতা
471,কবুতর,"কইতর, খবুতর, বাক্কা"
472,কবে,কুনদিন
473,কবে?,কবে?
474,কম,"কম, কমতি"
475,কম-বেশি,কমবেশি
476,কমতি,কমতি
477,কমলাপুর,কমলাপুর
478,কমাও,মারো
479,কমানোর,"কমানোর, খমানির"
480,কমায়,আখটায়
481,কমার,"কমার, কমি"
482,কমে,কমি
483,কমেন্ট,ফুড়িন
484,কম্পিউটার,কম্পিউটার
485,কয়,ওগুয়ে
486,কয়টা,বাজে
487,কয়দিন,খয়দিন
488,কয়ে,কইয়া
489,কয়েক,বউত
490,কয়েক,"কয়েক, কয়েকদিন"
491,কয়েকজন,"কতগুয়ে, কতলা"
492,কয়েকটি,"কয়টা, লাকরি"
493,কয়েকদিন,"কয়েকদিন, খয়েকদিন"
494,কয়েকদিন,কতদিন
495,কর?,করার
496,করছ,কররায়
497,করছি,করিয়ার
498,করছিলাম,করছিলাম
499,করছিলো,ধরছিল
500,করছে,করের
501,"করছে,",করছে
502,করছেন,কররা
503,করছো,"কররায়, কিওর"
504,করছো?,"করছো, কররায়?"
505,করত,"করতা, করতো, খরতা"
506,করতাম,"খরতাম, ভাবতাম"
507,করতে,লাগি
508,করতে চাই,করতাম চাই
509,করতে হবে,খরা লাগবো / করা লাগবো
510,করতেও,ইকান
511,করতেছি,করিয়ার
512,করতেছিলাম,অঙ্কত
513,করতেসে,করের
514,করতো,খরতা
515,করব,খরমু
516,করব?,করতাম?
517,করবা,করতায়?
518,করবা?,করবায়
519,করবি,করতে
520,করবে,"করতো, করবা, করবায়, কিতা, খরবা, খরবো, যেন"
521,"করবে,",করবো
522,করবেন,খরইন
523,করবো,খরতাম
524,করবো?,খরতাম?
525,করল,করলো
526,করলাম,"করলাম, লইলাম"
527,করলে,"করলায়, কাশি"
528,করলেন,করলা
529,করলো,"করলো, কর্‌লা, খরলো"
530,করা,খরা
531,করাই,খরাইছি
532,করাটা,খরাটা
533,করাটাই,করাউ
534,করানো,করানি
535,করার,করার
536,করি,খরি
537,করি?,নি?
538,করিনি,কামর
539,করিয়ে,ছাড়িয়া
540,করিস,করিছ
541,করুন,"করইন, খরইন"
542,করে,খরি
543,করে?,খরি?
544,করেই,"কইরাউ, খরিয়াও"
545,করেছি,দিছি
546,করেছিল,"করছইন, করছিলা"
547,করেছিলাম,করছিলাম
548,করেছে, খরছে
549,করেছেন,সমাধান
550,করেন,"কওয়াত, করইন, কাম, খরইন, না, লাগাইন"
551,করেন?,করইন
552,করেনা,"করে, না"
553,করো,খরো
554,করোনায়,করোনার
555,কর্মকর্তা,কর্মকর্তা
556,কর্মরত,কাম
557,কল,কল
558,কল দিবো না,কল দিতাম নায়
559,কলকাতা,কলকাতা
560,কলম,কলম
561,কলমটি,কলম
562,কলেজে,কলেজো
563,কল্পনা,কল্পনা
564,কল্পনা করে,কল্পনা করে
565,কল্পনার,ভাবনার
566,কষ্ট,"কষ্ট, খষ্ট, বড়"
567,কষ্টকর,"কষ্ট'র, কিন্তুক, মুশকিল"
568,কষ্টে,কষ্টে
569,কষ্টের,খষ্টর
570,কসম,কছম
571,কাউকে,"কইয়া, করাত, কাউকে, কাউরে, খেউরে"
572,কাওকে,ইলা
573,"কাকারা,",নিজ
574,কাকে,খারে
575,কাঁচা,"কাঁচা, কাচা, বালা"
576,কাছ,"কাছ, কান্দা, ধার"
577,কাছে,কান্দাত
578,কাজ,"কাজ, কাম, কাম, কামও, খইরা"
579,কাজ ,কাম 
580,কাজকে,কাজরে
581,কাজল,"কাজল, কাজলর"
582,কাজী,কাজী
583,কাজে,"কাজ, কামও, কামে, কামো, লাগি"
584,কাজের,"কামর, কামলা, না"
585,কাজের ,কামর 
586,কাটছেই,লাগের
587,কাটতে,কাটতাম
588,কাটবো,দিতাম
589,কাটাই,কাটাই
590,কাটাকাটি,কাটাকাটি
591,কাটাতো,কাটতো
592,কাটাবো?,কাটাইতাম
593,কাটার,কাটার
594,কাটালাম,কাটাইলাম
595,কাটিয়ে,কাটাইয়া
596,কাটে,কাটে
597,কাঠ,কাঠ
598,কাণ্ড,করছে
599,কাঁদছে,কান্দের
600,কাঁদতে,কান্দার
601,কাঁদানো,কানদানি
602,কান,গুটা
603,কান্না,কান্দা
604,কাপড়ে,কাফরে
605,কাবিনের,মাসে
606,কার,কার
607,কারও,"কারোর, কেউর"
608,কারণ,কারণ
609,কারণও,কারণ
610,কারণে,লাগি
611,কারন,"কারণ, কারন"
612,কারনে,"কারণে, কারনে, তাকি"
613,কারেন্ট,সময়
614,কারো,কারো
615,কাল,"আনা, কাইল"
616,কালকে,কাইল
617,কালাম,কালামও
618,কালো,"একগু, কালা, কুত্তা"
619,কাশতে,কাশতে
620,কাশি,কাওয়ানি
621,কাহিনী,কাহিনী
622,কি,কিতা
623,কি কি,কিতা
624,কি?,"কিতা?, কোন, খরতাম?"
625,কিছু,বহুততা
626,কিছুই,কিচ্চু
627,কিছুক্ষন,বাক্কা
628,কিছুটা,বাক্কা
629,কিছুতেই,কুন্তাত
630,কিছুদিন,"কিছুদিন, কয়দিন"
631,কিছুর,কুন্তার
632,কিডন্যাপ,দিন
633,কিনতে,কিনতে
634,কিনবো,কিনমু
635,কিনল,"কিনছিল, কিনলো, লাগি"
636,কিনা,"কিনা, নাকিতা"
637,কিনে,কিনিয়া
638,কিনেছি,কিনছি
639,কিন্তু,কিন্তু
640,কিপটা,কিপটা
641,কিংবা,বা
642,কিভাবে,"কিলা, কিলান, তেও"
643,কিভাবে?,কিলা?
644,কিসের,কিওর
645,কী,কিতা
646,কীভাবে,কিলা
647,কীসব,কিতা
648,কুকুর,"একগু, কুত্তা, ঘাস"
649,কুকুরটা,কুত্তা
650,কুড়ালটি,কুড়াল
651,কুয়েত,কুয়েত
652,কুয়েতে,কুয়েত
653,কুরবানিতে,কুরবানিত
654,কুল,পাকে
655,কুশল,হকল
656,কে," কে, কেটা?, কেটায়"
657,কে?,লাগে?
658,কেউ,খেউ
659,কেও,"কেউ, খেউ"
660,কেক,"কেইক, খেগর"
661,কেটে,কাটি
662,কেঁটে,কাটি
663,কেঁদে?,কান্দিয়া?
664,কেন,"কিওর, কিতার, কেনে, খেনে"
665,কেন?,"কররায়, কিতার, লাগি?"
666,কেননা,কারণ
667,কেনো,খেনে
668,কেবল,খালি
669,কেমন,কিলান
670,কেমন / কেমন,কেমনে / ভালা (context-dependent)
671,কেরোসিন,খেরাসিন
672,কেল্লার,কেল্লার
673,কোটিপতি,কোটিপতি
674,কোথাও,"কানো, কোন, কোনকানও, জাগাত,"
675,কোথায়,"কুন, কোন, খই, না"
676,কোথায়,"কিতাত, কুয়াই"
677,কোথায়?,খই?
678,কোথায়?,কোন?
679,কোন,কুনো
680,কোনও,কুনো
681,কোনটা,কোনটা
682,কোনটি,কোন
683,কোনটি?,কোনটা?
684,কোনদিন,ইকান
685,কোনদিনও,কোনদিন
686,কোনভাবেই,কুনোমতেউ
687,কোনো,মুই
688,কোনো,কুনো
689,কোনোভাবেই,কোন
690,কোনোমতেই,কুনো
691,কোরতে,করা
692,কোরবানি,কোরবানি
693,কোলে,"কুছো, কুলো"
694,কোলেই,কুলেউ
695,ক্যাচাল,"খেচা, ঝামেলা"
696,ক্রাশের,ক্রাশর
697,ক্রিকেট,ক্রিকেট
698,ক্রিকেট খেলে,ক্রিকেট খেলায়
699,ক্লান্ত,ক্লান্ত
700,ক্লাব,ক্লাব
701,ক্লাস,ক্লাস
702,ক্লাসে,ক্লাস-ও
703,ক্লাসের,ক্লাসর
704,ক্ষতি,"ক্ষতি, খেতি"
705,ক্ষমা,মাফ
706,ক্ষমার,মাফ
707,ক্ষেত্রে,কুন
708,খন,যেব্‌লা
709,খনিজ,খনিজ
710,খবর,"আখতা, খবর"
711,খরচ,"খরচ, খরচা"
712,খাই,খাইছি
713,খাইয়ে,খাওয়াইয়া
714,"খাও,","খাও,"
715,খাও?,খাও
716,খাওয়া,খাওয়া
717,খাওয়া,খাওয়া
718,খাওয়া-দাওয়ার,খানির
719,খাওয়ার,খাওয়ার
720,খাট,খাট
721,খাটো,খাটো
722,খাতা,খাতা
723,খাদ্য,খানি
724,খানিকটা,বাক্কা
725,খাবার,"খাইতো, খানি, খানিটা, খানির, বাইরে"
726,খাবারটি,খানিটা
727,খাবারে,"খানিত, খুব"
728,খাবো,"খাইতাম, খাইমো"
729,খামারে,টার
730,খামারের,খামারর
731,খামে,খাম
732,খায়,খায়
733,খায়,খাইয়া
734,"খায়,","খায়,"
735,খারাপ,"খারাপ, খারাফ, নায়, বাক্কা, বাদ, মান্দা"
736,খালা,খালা
737,খালাতো,ভাই
738,খালামুনিই,খালামণি
739,খালামুনির,খালামণির
740,খালার,"বাসাত, মইর"
741,খিচুড়ি,খিচুড়ি
742,খিদে,"ক্ষুদা, খুদা"
743,"খুঁজছে,",খুজরা
744,খুজে,"আমার, খুজিয়া"
745,খুঁজে,খুজিয়া
746,খুন,নায়
747,খুব,খুব
748,খুবই,খুবঅই
749,খুলে,খুলিয়া
750,খুশি,খুশি
751,খুশী,খুশির
752,খেতে,খানিত 
753,খেতো,তাকি
754,খেয়াল,খেয়াল
755,খেয়ে,অনেখ
756,খেয়ে,খাইয়া
757,খেয়েই,খাইয়াউ
758,খেয়েছ,খাইলায়?
759,খেয়েছি,খাইছি
760,খেয়েছিল?,খাইছিল?
761,খেয়েছেন,খাইছোইন
762,খেয়েছো,খাইছোনি
763,খেলছে,"খেলছে, খেলার"
764,খেলতে,খেলাত
765,খেলবে,খেলবো
766,খেলা,খেলানি
767,খেলাই,খেলাটাউ
768,খেলায়,খেলাত
769,খেলার,খেলার
770,খেলে,"খাইলে, খেলায়"
771,খেলেছি,খেলাইছি
772,খেলোয়াড়,খেলোয়াড়
773,খোঁচা, খোঁচা
774,খোজ,খোঁজ
775,খোঁজ,খোজ
776,খোঁজখবর,খোঁজখবর
777,খোঁজে,খুঁজে
778,খোজেনা,খুঁজে
779,খোটা,খুটা
780,খোলা,খোলা
781,খোলার,খোলা
782,গড়ে,ঘরে
783,গণিত,তুমিতাইন
784,গত,"গত, গতদিন"
785,গতকাল,গতকাইল
786,গনিতে,করাত
787,গভীর,গভীর
788,গয়না,গয়না
789,গরম,"গরম, গরমা, বৃষ্টি"
790,গরমও,গরমও
791,গরমে,গরমো
792,গরমের,গরমর
793,গরিব,গরীব
794,গরীব,গরীব
795,গরীবদের,গরীবর
796,গরু,"গরু, গরুর"
797,গলা,গলা
798,গল্প,গল্প
799,গল্প করে,গফ করে
800,গল্পের,গফ
801,গাই,গাই
802,গাইতে,গাইতে
803,গাও,গাও
804,গাছ,গাছ
805,গাছ!,গাছ
806,গাছগুলো,গাছ
807,গাছগুলোর,গাছ
808,গাছে,"গাছ-ও, গাছো, পানি"
809,গাড়ি,গাড়ি
810,গাড়িটি,গাড়ি ওগু
811,গাড়ির,গাড়ির
812,গাড়ির,গাড়িওগুর
813,গাঁদা-সহ,গাঁদা
814,গান,হান
815,গানগুলো,গান
816,গানটা,"গান, গানটা, ফাইলাম, হুনি"
817,গানটাতে,গান
818,গানটার,গানগুতার
819,গানটি,গান
820,গানে,গান-ও
821,গানের,গান
822,গায়ক,গায়করে
823,গায়ে,গাত
824,গায়ে,গাত
825,গার্লফ্রেন্ড,"গার্লফ্রেন্ড, গার্লফ্রেন্ডর, গাার্লফ্রেন্ডর"
826,গার্লফ্রেন্ডের,বান্ধোবীর
827,গালি,"গাইল, গালি"
828,গালিগালাজ,গালাগালি
829,গিটার,গিটার
830,গিয়ে,গিয়া
831,গিয়ে,"গিয়া, লগ"
832,গিয়েছি,গেছি
833,গিয়েছিল,"গেছিল, হকল"
834,গিয়েছিলাম,গেছলাম
835,গিয়েছিলাম,গেছলাম
836,গিয়েছিলি?,গেছলে নি?
837,গিয়েছিলে?,গেছলায়
838,গিয়েছে,গেছে
839,গিলিয়ে,ওয়
840,গুছিয়ে,গুছাইয়া
841,গুন,গুণ
842,গুরুত্ব,গুরুত্ব
843,গুরুত্বপূর্ণ,গুরুত্বপুর্ণ
844,গুলা,"ইতা, কিছু, মাঝে"
845,গুলি,ইতা
846,গুলো,"গুইন, পালে"
847,গুলোই,ওকল
848,গুলোকে,ফুড়িন্তরে
849,গুলোর,গুইন্তর
850,গেছি,গেছি
851,গেছিলাম,গেছলাম
852,"গেছিলাম,","গেছলাম,"
853,গেছিলেন,গেছলা
